row_idx,lexunit,primary_cluster,clusters_above_threshold,entropy,one_minus_max,top2_ratio
0,"('$', 'NOUN')",8,"[(1, 0.11191016333833455), (4, 0.1085719454436493), (5, 0.14929741404786434), (6, 0.12803089331245282), (8, 0.23660538472671216)]",0.8538956833992724,0.7633946152732878,1.5847922499907274
1,"('%', 'NOUN')",8,"[(1, 0.12184549319447474), (4, 0.11940924325551136), (5, 0.11458907196454307), (6, 0.13523606183524253), (8, 0.22882062334579964)]",0.8490785614551513,0.7711793766542003,1.6920089230679516
2,"('&', 'CCONJ')",0,"[(0, 0.16199085614367537), (2, 0.11096996920854749), (7, 0.12252663705069716), (9, 0.1052766984379195)]",0.7451923699235583,0.8380091438563246,1.3220868542784645
3,"('/', 'ADP')",7,"[(0, 0.19728029059550814), (7, 0.19796828276641854), (9, 0.12788703741028873)]",0.8227324945718701,0.8020317172335815,1.0034873842127545
4,"('/', 'CCONJ')",0,"[(0, 0.22464141281704328), (7, 0.1361241351655274), (9, 0.11930164376618485)]",0.7833064841832055,0.7753585871829567,1.650268797255377
5,"('0', 'NUM')",5,"[(5, 0.2373648029693287), (8, 0.1591140084949974), (9, 0.12276215808936276)]",0.8113282689868405,0.7626351970306713,1.4917907305238403
6,"('1', 'NUM')",8,"[(1, 0.12394878100065633), (4, 0.11341433486214039), (7, 0.17978234804543566), (8, 0.2516786503083283)]",0.8377623997113272,0.7483213496916716,1.3999074605740636
7,"('10', 'NUM')",1,"[(1, 0.20367515112571097), (4, 0.12842022216477125), (7, 0.10345310783822662), (8, 0.12623971182890467), (9, 0.14883289195911545)]",0.8494554158940368,0.796324848874289,1.368482117391502
9,"('11', 'NUM')",1,"[(1, 0.42107521417780314), (4, 0.19023471109142262)]",0.9808887382703769,0.5789247858221969,2.2134510140762043
10,"('12', 'NUM')",1,"[(1, 0.24491950038319768), (4, 0.14663806510423158), (7, 0.12641358806804512), (8, 0.11588457162056927)]",0.8203676225439843,0.7550804996168023,1.670231397346295
11,"('13', 'NUM')",1,"[(1, 0.3535873495422896), (4, 0.17313709357784102), (8, 0.11851559320394826)]",0.8410457758018737,0.6464126504577103,2.0422391426093776
12,"('14', 'NUM')",1,"[(1, 0.30496623523483146), (4, 0.15906365275385217), (8, 0.12244292227693417)]",0.8298999496304464,0.6950337647651685,1.9172590969400194
13,"('15', 'NUM')",1,"[(1, 0.23098306820070943), (4, 0.14027899003678074), (7, 0.12853187992465187), (8, 0.11367529388467605), (9, 0.12447911702655429)]",0.8600809081468289,0.7690169317992905,1.6465977416870934
15,"('16', 'NUM')",1,"[(1, 0.31585734947431093), (4, 0.1664538861939126), (7, 0.1099192983959783), (8, 0.11127783887870157)]",0.8291967037032488,0.6841426505256891,1.8975666876671706
16,"('17', 'NUM')",1,"[(1, 0.36800696104154296), (4, 0.17760418014939), (8, 0.10006016974608012)]",0.8239043647059728,0.631993038958457,2.072062497245265
17,"('18', 'NUM')",1,"[(1, 0.3783791992774112), (4, 0.17989262137584963), (8, 0.10310609332220529)]",0.8288407671871961,0.6216208007225887,2.103361418514568
19,"('19', 'NUM')",1,"[(1, 0.3706380662166118), (4, 0.18374500440658542)]",0.9798367390522347,0.6293619337833882,2.017132750975232
100,"('1er', 'NUM')",1,"[(1, 0.41626513906227425), (4, 0.20279599163990072)]",0.9931520770683789,0.5837348609377258,2.0526300135232693
101,"('2', 'NUM')",9,"[(1, 0.11827005528719249), (7, 0.12031403818731451), (8, 0.11640113096025215), (9, 0.27437599153264475)]",0.8024615438390076,0.7256240084673553,2.280498565807211
102,"('20', 'NUM')",1,"[(1, 0.20828279933998425), (4, 0.1311193975243697), (7, 0.12464650258609278), (8, 0.11533523048321828), (9, 0.15093649300790263)]",0.8619294238364157,0.7917172006600157,1.3799366554056554
117,"('21', 'NUM')",1,"[(1, 0.4215796563044367), (4, 0.18354804181063641), (8, 0.105415805642455)]",0.8305678615198221,0.5784203436955633,2.296835488658461
118,"('22', 'NUM')",1,"[(1, 0.3493982501425189), (4, 0.1723719803828169), (8, 0.10030738885912702)]",0.820228346656501,0.6506017498574811,2.0270014266039555
119,"('23', 'NUM')",1,"[(1, 0.35177574923776495), (4, 0.1780549249879711), (8, 0.10261740373196492)]",0.8268781462287111,0.6482242507622351,1.97565863040031
120,"('24', 'NUM')",1,"[(1, 0.34275806075913434), (4, 0.17342736907074358), (7, 0.1071790729095129), (8, 0.10583039740715147)]",0.8280276607084934,0.6572419392408657,1.9763781379818908
121,"('25', 'NUM')",1,"[(1, 0.42619865506481086), (4, 0.1850327055460219)]",0.9747926534173523,0.5738013449351891,2.30336930872367
122,"('26', 'NUM')",1,"[(1, 0.42771756778267683), (4, 0.19313823694737467)]",0.9822500811928059,0.5722824322173232,2.2145670093240994
123,"('27', 'NUM')",1,"[(1, 0.4392956126927611), (4, 0.19253095219919272)]",0.9789427446936985,0.5607043873072389,2.281688256744637
124,"('28', 'NUM')",1,"[(1, 0.43582263074270056), (4, 0.19145127246320195)]",0.9787988770011915,0.5641773692572994,2.276415430074868
125,"('29', 'NUM')",1,"[(1, 0.41496079121743296), (4, 0.19539778812320852)]",0.9868279870354808,0.5850392087825671,2.123671896202727
127,"('3', 'NUM')",9,"[(1, 0.16087881122553402), (4, 0.11060127599558306), (7, 0.12104488193549713), (8, 0.1293220831233458), (9, 0.19300456774312802)]",0.8543894089632369,0.806995432256872,1.19968917145066
128,"('30', 'NUM')",1,"[(1, 0.2563815299124231), (4, 0.15798356343399358), (7, 0.10629102813182485), (8, 0.14065243148173825)]",0.8328846214231006,0.743618470087577,1.6228367327563207
129,"('31', 'NUM')",1,"[(1, 0.4522644460531907), (4, 0.18789333140701936)]",0.9709363190307776,0.5477355539468093,2.4070276612078576
135,"('4', 'NUM')",9,"[(1, 0.12985779434867606), (7, 0.1351355631182792), (9, 0.29261771034565937)]",0.8147968879147589,0.7073822896543407,2.1653641986864836
140,"('5', 'NUM')",1,"[(1, 0.1903170475453507), (4, 0.12401408867217166), (7, 0.12988407147445333), (8, 0.12466416068515601), (9, 0.1556476076678966)]",0.8629193186319994,0.8096829524546493,1.222743159351526
143,"('6', 'NUM')",1,"[(1, 0.3493565619579723), (4, 0.1783655740346154), (8, 0.10669332954351783)]",0.8316410319881753,0.6506434380420276,1.9586546554671627
145,"('7', 'NUM')",1,"[(1, 0.3315465414727523), (4, 0.16920431840854808), (7, 0.10500705379517072), (8, 0.11171633586381984)]",0.8282194731518905,0.6684534585272477,1.9594449160110965
148,"('8', 'NUM')",1,"[(1, 0.29367834083865507), (4, 0.1575898296237063), (7, 0.11803199031930652), (8, 0.11286531253343447)]",0.8291576774645087,0.7063216591613449,1.8635615099013785
150,"('9', 'NUM')",1,"[(1, 0.38253662511425807), (4, 0.1849241827373681)]",0.9806113924011594,0.6174633748857419,2.0686133065546213
152,"('=', 'VERB')",6,"[(1, 0.10180359298709343), (4, 0.10254662490648715), (6, 0.2849155952213836), (8, 0.1445294324725006)]",0.7959519896172967,0.7150844047786165,1.9713326922223544
153,"('A', 'PROPN')",8,"[(2, 0.12514709752106454), (4, 0.10227606490665106), (5, 0.2113628399859782), (8, 0.2475166714157099)]",0.8420896014343181,0.7524833285842901,1.171051029746431
155,"('Afrique', 'PROPN')",4,"[(1, 0.2834315102759086), (4, 0.29434557967124614), (8, 0.16006187614632114)]",0.9198837017954555,0.7056544203287538,1.038506902019162
158,"('Alex', 'PROPN')",2,"[(2, 0.4574503105598522), (5, 0.2168405497289469)]",0.994344216518142,0.5425496894401478,2.1096160802565302
161,"('Algérie', 'PROPN')",4,"[(1, 0.2939127341796459), (4, 0.33866328285202635), (8, 0.12184659827802691)]",0.8948211372092579,0.6613367171479736,1.152257944172735
162,"('Allemagne', 'PROPN')",4,"[(1, 0.18576679398101165), (4, 0.2576882228975538), (5, 0.21108857584039994), (8, 0.14799934718101498)]",0.9184371036028548,0.7423117771024462,1.2207587353869256
163,"('Amérique', 'PROPN')",4,"[(1, 0.2054173924169756), (4, 0.333591665662093), (8, 0.1635929815761833)]",0.898870649470033,0.666408334337907,1.6239699167485153
165,"('Angleterre', 'PROPN')",5,"[(1, 0.1345456670737864), (4, 0.16160931827485456), (5, 0.34725000660294747), (8, 0.15157931611125236)]",0.8783776249641518,0.6527499933970525,2.1487003986513162
166,"('Argentine', 'PROPN')",5,"[(1, 0.1321166152167454), (2, 0.10480199543381785), (4, 0.13728469317878797), (5, 0.32527514083350956), (8, 0.13610414514963795)]",0.8780505569615219,0.6747248591664905,2.3693474727725015
167,"('Asie', 'PROPN')",5,"[(1, 0.12738335598817427), (2, 0.11283815685381073), (4, 0.17910746965940988), (5, 0.22280652761197933), (8, 0.179604329318061)]",0.906905346637971,0.7771934723880207,1.2405409627816466
168,"('Auckland', 'PROPN')",5,"[(2, 0.13502763905911178), (5, 0.41876005558726853), (8, 0.11937355796807311)]",0.808841741513858,0.5812399444127314,3.1012913985998503
169,"('Australie', 'PROPN')",5,"[(1, 0.1513076508646398), (4, 0.17779797192241587), (5, 0.3116560949190712), (8, 0.15487140036641273)]",0.89809020965842,0.6883439050809288,1.752866422205681
170,"('Autriche', 'PROPN')",5,"[(1, 0.15454995371874702), (2, 0.10406621108098546), (4, 0.1745559135931247), (5, 0.2788083106620605), (8, 0.1489446925910369)]",0.9124081550575334,0.7211916893379395,1.5972435704008257
171,"('B', 'PROPN')",3,"[(2, 0.10713836117496077), (3, 0.20805755873213502), (8, 0.12905144801099855)]",0.7556664350043858,0.791942441267865,1.612206309489864
173,"('Belgique', 'PROPN')",5,"[(1, 0.12357172930521663), (4, 0.2409227374859521), (5, 0.28145737219829187), (8, 0.14829050086014287)]",0.8952857205397493,0.7185426278017082,1.1682474437046577
179,"('Bourgogne', 'PROPN')",5,"[(2, 0.10199557654054113), (5, 0.5013009293244368)]",0.8353360711919271,0.4986990706755632,4.914928140292242
180,"('Bretagne', 'PROPN')",5,"[(5, 0.5319499169073657), (8, 0.11755264547655157)]",0.8474892140306794,0.4680500830926343,4.525205832253896
181,"('Bruxelles', 'PROPN')",5,"[(2, 0.119707098651735), (5, 0.4513822895422835), (8, 0.10944338596065532)]",0.7785074080116582,0.5486177104577166,3.77072282785413
182,"('Brésil', 'PROPN')",1,"[(1, 0.6751079661527084), (4, 0.12340421461859048)]",0.7551579636939484,0.3248920338472916,5.470704288660538
183,"('Bulgarie', 'PROPN')",4,"[(1, 0.14351753143722193), (4, 0.31425169405906367), (5, 0.16734417045089023), (8, 0.14583503078489304)]",0.8817107234824254,0.6857483059409364,1.8778765535264688
184,"('C', 'NOUN')",8,"[(1, 0.11776823777076105), (6, 0.10456671516708183), (8, 0.170257152019499)]",0.7185846076732101,0.829742847980501,1.4456966941367417
185,"('CD', 'NOUN')",1,"[(1, 0.5063813801988232), (8, 0.3222768459508813)]",1.0235968289384705,0.49361861980117683,1.5712620579512606
187,"('Canada', 'PROPN')",1,"[(1, 0.6417452534074284), (4, 0.13465974568265854)]",0.8001884081271716,0.3582547465925716,4.765679974769715
189,"('Chicago', 'PROPN')",5,"[(2, 0.10203057724975771), (5, 0.4996435288786567), (8, 0.114232125423437)]",0.7531274476050495,0.5003564711213433,4.373931825452535
192,"('Côte', 'PROPN')",4,"[(1, 0.17708463674891578), (2, 0.12319201939301336), (4, 0.3180246519057611), (8, 0.13076351311657322)]",0.8619234720225378,0.6819753480942389,1.795890698054631
193,"('DVD', 'NOUN')",1,"[(1, 0.7234675082272406), (8, 0.15092529830233453)]",0.7495975487156891,0.2765324917727594,4.793546982282492
194,"('Danemark', 'PROPN')",1,"[(1, 0.6325736010584359), (4, 0.13781723769230206)]",0.8119812066146935,0.36742639894156415,4.589945435350784
197,"('Dieu', 'PROPN')",5,"[(2, 0.11621346187001566), (5, 0.4283373913173829), (8, 0.1456464713184168)]",0.8136548484224823,0.5716626086826171,2.9409390247494467
198,"('Disney', 'PROPN')",2,"[(2, 0.5601456326588656), (5, 0.12469737750608254)]",0.8428805965656714,0.43985436734113437,4.492040200537037
201,"('Espagne', 'PROPN')",4,"[(1, 0.20071343624977342), (4, 0.23123886283128833), (5, 0.2014600370054003), (8, 0.15171334003700934)]",0.9159616732450562,0.7687611371687116,1.1478150519007886
202,"('Etats-Unis', 'PROPN')",1,"[(1, 0.31765898162508777), (4, 0.2537875785148125), (8, 0.10415595274835435)]",0.8627965886913783,0.6823410183749122,1.2516726921154158
203,"('Europe', 'PROPN')",4,"[(1, 0.18093849355712038), (4, 0.23725837692959095), (5, 0.23063660179396164), (8, 0.15414864631337177)]",0.9213121900965748,0.762741623070409,1.0287108597860146
204,"('Florence', 'PROPN')",5,"[(2, 0.11251950372730357), (5, 0.45243455769024027), (8, 0.13521527236019731)]",0.7966369883933104,0.5475654423097598,3.3460314784931153
205,"('Floride', 'PROPN')",5,"[(4, 0.12436049198086983), (5, 0.41529244757618033), (8, 0.1374150156918846)]",0.8164119017786271,0.5847075524238197,3.0221766193831354
206,"('France', 'PROPN')",5,"[(1, 0.1148318980862306), (4, 0.22382672450539245), (5, 0.31047692030498886), (8, 0.1497152876842604)]",0.888001741823622,0.6895230796950111,1.3871306967077957
212,"('Grand', 'PROPN')",1,"[(1, 0.5051954109413432), (4, 0.17738915532624455)]",0.9402489762589629,0.49480458905865676,2.847949808499934
213,"('Grande-Bretagne', 'PROPN')",4,"[(1, 0.16410934520863402), (4, 0.38355277095387746), (5, 0.1039729332192434), (8, 0.14027043372680617)]",0.8475867888158934,0.6164472290461225,2.3371781202725694
214,"('Grèce', 'PROPN')",4,"[(1, 0.11916996491490758), (4, 0.7233506346232135)]",0.7036948415726173,0.2766493653767865,6.069907255068142
215,"('Guillaume', 'PROPN')",2,"[(2, 0.5511788913541393), (8, 0.12028371462191483)]",0.841212547795127,0.44882110864586067,4.582323493139931
220,"('I', 'NUM')",5,"[(5, 0.23026192667725928), (8, 0.12669950503728358)]",0.8654749947820772,0.7697380733227407,1.8173861579767072
221,"('II', 'NUM')",5,"[(5, 0.20143946806882312), (8, 0.12336678470866691)]",0.8380849166545593,0.7985605319311768,1.6328501107046471
222,"('III', 'NUM')",5,"[(5, 0.2659075672560731), (8, 0.1277777165080333)]",0.8874317802664108,0.7340924327439269,2.081016741595595
223,"('IV', 'NUM')",5,"[(5, 0.21407991780936167), (8, 0.13291955545166637)]",0.8630449796176568,0.7859200821906384,1.610597606062621
224,"('Inde', 'PROPN')",4,"[(1, 0.2368930372008069), (4, 0.31333499513538776), (5, 0.11335308207044334), (8, 0.13899364411991882)]",0.8842696976518404,0.6866650048646122,1.3226855412798957
225,"('Internet', 'PROPN')",5,"[(2, 0.14979573439885444), (5, 0.2626961051901221), (8, 0.17506720980664814)]",0.8561847820491912,0.7373038948098779,1.5005443079846599
226,"('Irak', 'PROPN')",4,"[(1, 0.33922308235539866), (4, 0.3568915205758884)]",1.059582836146826,0.6431084794241115,1.0520850117209264
227,"('Iran', 'PROPN')",4,"[(1, 0.2944735509606187), (4, 0.30414121121456233), (8, 0.11567289702971423)]",0.8843216384916841,0.6958587887854377,1.0328303177735527
228,"('Irlande', 'PROPN')",5,"[(1, 0.1651466272797101), (4, 0.19389007942185466), (5, 0.2557044322077292), (8, 0.1681738083712114)]",0.9117915315513055,0.7442955677922708,1.3188113232517817
230,"('Italie', 'PROPN')",5,"[(5, 0.5561960308815531), (8, 0.11017546144861746)]",0.8213200780568892,0.4438039691184469,5.048275029380714
231,"('Ivoire', 'PROPN')",5,"[(2, 0.11038898359835406), (5, 0.32023866355179215), (8, 0.11844078772427447)]",0.7833482783678741,0.6797613364482078,2.7037870121000482
232,"('J.-C.', 'PROPN')",5,"[(2, 0.1023720219278431), (5, 0.3872993348625421), (8, 0.11064792572898927)]",0.7684936534579959,0.6127006651374579,3.5002855436364624
235,"('Japon', 'PROPN')",1,"[(1, 0.6654439815920213), (4, 0.13098770376324279)]",0.7751431286565772,0.33455601840797866,5.08020190043789
238,"('Jeanne', 'PROPN')",2,"[(2, 0.5088927843190868), (8, 0.1079293660579592)]",0.8426017123888866,0.4911072156809132,4.715053955248899
243,"('Libye', 'PROPN')",4,"[(1, 0.15424361615601878), (4, 0.42497096407165275), (5, 0.12038628553743742), (8, 0.11857417746647866)]",0.8365232148001823,0.5750290359283472,2.7551932109902744
244,"('Lille', 'PROPN')",5,"[(2, 0.10563074624030454), (5, 0.47901142395268), (8, 0.1170168423743962)]",0.7655629737134526,0.5209885760473201,4.0935254637967375
245,"('Liège', 'PROPN')",5,"[(2, 0.1013161906028178), (5, 0.4474828469046656), (8, 0.10079953288564573)]",0.7492085444479855,0.5525171530953343,4.41669632703522
246,"('Loire', 'PROPN')",4,"[(1, 0.17066420919279446), (4, 0.5428349771183929)]",0.9137873006631769,0.4571650228816071,3.1807194940631507
248,"('Lord', 'PROPN')",2,"[(1, 0.161032817749939), (2, 0.34031158393495503), (6, 0.1090777396990924), (8, 0.1720071223737287)]",0.8694708417760559,0.6596884160650449,1.9784737936347927
249,"('Lorraine', 'PROPN')",5,"[(4, 0.14996918086590263), (5, 0.2980900968253502), (8, 0.16802482369197558)]",0.8602060339582109,0.7019099031746499,1.7740836757062237
250,"('Los', 'PROPN')",2,"[(2, 0.6215185496573309), (5, 0.10486512826667535)]",0.7676104068073021,0.3784814503426691,5.926837261637534
252,"('Lyon', 'PROPN')",5,"[(2, 0.10527633050102488), (5, 0.575328399315748), (8, 0.11089078436019904)]",0.7272050289464562,0.424671600684252,5.188243573487113
253,"('M.', 'NOUN')",2,"[(2, 0.4193141455360374), (8, 0.16736967376589004)]",0.9574045487453448,0.5806858544639626,2.5053173379698235
255,"('Mali', 'PROPN')",1,"[(1, 0.6058536282654388), (4, 0.14319554975681528)]",0.8395191527377365,0.39414637173456124,4.2309529122542
256,"('Mans', 'PROPN')",1,"[(1, 0.5467084330825991), (4, 0.16160972734830553)]",0.9012074751044621,0.4532915669174009,3.382893109548528
259,"('Maroc', 'PROPN')",1,"[(1, 0.7451368861311607), (4, 0.10369483467819861)]",0.655291923337711,0.2548631138688393,7.185863099580431
260,"('Marseille', 'PROPN')",5,"[(5, 0.5753912523080752), (8, 0.10645477957774092)]",0.8028368092897268,0.4246087476919248,5.405029765599986
263,"('Mauritanie', 'PROPN')",4,"[(1, 0.17380362614184103), (4, 0.5799194746196572)]",0.8946225204353743,0.4200805253803428,3.3366362226895387
264,"('Mexique', 'PROPN')",1,"[(1, 0.7222373902785088), (4, 0.1109520182844222)]",0.6909968774309866,0.27776260972149125,6.509456983712317
267,"('Milan', 'PROPN')",1,"[(1, 0.31484695944561475), (2, 0.14626385329497926), (4, 0.15245173421179026), (8, 0.16103134507704553)]",0.8842595412664283,0.6851530405543853,1.9551905207956628
270,"('Méditerranée', 'PROPN')",4,"[(1, 0.12659060054295154), (4, 0.25702784748601604), (5, 0.1992269877905009), (8, 0.1405578697464434)]",0.8714139564715865,0.742972152513984,1.290125651833356
