row_idx,lexunit
0,"('$', 'NOUN')"
1,"('%', 'NOUN')"
2,"('&', 'CCONJ')"
3,"('/', 'ADP')"
4,"('/', 'CCONJ')"
5,"('0', 'NUM')"
6,"('1', 'NUM')"
7,"('10', 'NUM')"
10,"('12', 'NUM')"
11,"('13', 'NUM')"
12,"('14', 'NUM')"
13,"('15', 'NUM')"
15,"('16', 'NUM')"
16,"('17', 'NUM')"
17,"('18', 'NUM')"
101,"('2', 'NUM')"
102,"('20', 'NUM')"
117,"('21', 'NUM')"
118,"('22', 'NUM')"
119,"('23', 'NUM')"
120,"('24', 'NUM')"
127,"('3', 'NUM')"
128,"('30', 'NUM')"
135,"('4', 'NUM')"
140,"('5', 'NUM')"
143,"('6', 'NUM')"
145,"('7', 'NUM')"
148,"('8', 'NUM')"
152,"('=', 'VERB')"
153,"('A', 'PROPN')"
155,"('Afrique', 'PROPN')"
161,"('Algérie', 'PROPN')"
162,"('Allemagne', 'PROPN')"
163,"('Amérique', 'PROPN')"
165,"('Angleterre', 'PROPN')"
166,"('Argentine', 'PROPN')"
167,"('Asie', 'PROPN')"
168,"('Auckland', 'PROPN')"
169,"('Australie', 'PROPN')"
170,"('Autriche', 'PROPN')"
171,"('B', 'PROPN')"
173,"('Belgique', 'PROPN')"
181,"('Bruxelles', 'PROPN')"
183,"('Bulgarie', 'PROPN')"
184,"('C', 'NOUN')"
189,"('Chicago', 'PROPN')"
192,"('Côte', 'PROPN')"
197,"('Dieu', 'PROPN')"
201,"('Espagne', 'PROPN')"
202,"('Etats-Unis', 'PROPN')"
203,"('Europe', 'PROPN')"
204,"('Florence', 'PROPN')"
205,"('Floride', 'PROPN')"
206,"('France', 'PROPN')"
213,"('Grande-Bretagne', 'PROPN')"
224,"('Inde', 'PROPN')"
225,"('Internet', 'PROPN')"
227,"('Iran', 'PROPN')"
228,"('Irlande', 'PROPN')"
231,"('Ivoire', 'PROPN')"
232,"('J.-C.', 'PROPN')"
243,"('Libye', 'PROPN')"
244,"('Lille', 'PROPN')"
245,"('Liège', 'PROPN')"
248,"('Lord', 'PROPN')"
249,"('Lorraine', 'PROPN')"
252,"('Lyon', 'PROPN')"
267,"('Milan', 'PROPN')"
270,"('Méditerranée', 'PROPN')"
272,"('Napoléon', 'PROPN')"
276,"('Norvège', 'PROPN')"
277,"('Notre-Dame', 'PROPN')"
278,"('Noël', 'PROPN')"
282,"('PS', 'PROPN')"
286,"('Pays-Bas', 'PROPN')"
289,"('Pokémon', 'PROPN')"
292,"('Québec', 'PROPN')"
296,"('Rennes', 'PROPN')"
300,"('Roumanie', 'PROPN')"
301,"('Royal', 'PROPN')"
308,"('Serbie', 'PROPN')"
310,"('Suisse', 'PROPN')"
311,"('Suède', 'PROPN')"
312,"('Texas', 'PROPN')"
317,"('Tunisie', 'PROPN')"
318,"('Turquie', 'PROPN')"
320,"('UEFA', 'PROPN')"
321,"('V', 'NUM')"
324,"('Venezuela', 'PROPN')"
326,"('Vienne', 'PROPN')"
327,"('Washington', 'PROPN')"
330,"('X', 'PROPN')"
350,"('abri', 'NOUN')"
367,"('accès', 'NOUN')"
369,"('achat', 'NOUN')"
372,"('acide', 'NOUN')"
376,"('actif', 'ADJ')"
379,"('actrice', 'NOUN')"
386,"('administrateur', 'NOUN')"
393,"('adulte', 'NOUN')"
394,"('adversaire', 'NOUN')"
399,"('affluent', 'NOUN')"
402,"('afin', 'ADV')"
410,"('agréable', 'ADJ')"
414,"('ailleurs', 'ADV')"
421,"('alcool', 'NOUN')"
422,"('alentours', 'NOUN')"
430,"('altitude', 'NOUN')"
434,"('ami', 'NOUN')"
437,"('amphibien', 'NOUN')"
442,"('américain', 'NOUN')"
443,"('an', 'NOUN')"
446,"('ancêtre', 'NOUN')"
466,"('appel', 'NOUN')"
473,"('apprentissage', 'NOUN')"
481,"('après', 'ADV')"
482,"('après-midi', 'NOUN')"
484,"('arabe', 'NOUN')"
490,"('argent', 'NOUN')"
492,"('armer', 'VERB')"
497,"('arrière', 'NOUN')"
501,"('arrêté', 'NOUN')"
502,"('art', 'NOUN')"
526,"('attente', 'NOUN')"
532,"('attribut', 'NOUN')"
533,"('au-delà', 'ADV')"
534,"('au-dessus', 'ADV')"
536,"('aucun', 'PRON')"
542,"('auprès', 'ADV')"
546,"('autant', 'PRON')"
548,"('automne', 'NOUN')"
556,"('autour', 'ADV')"
558,"('autre', 'PRON')"
560,"('aval', 'NOUN')"
564,"('avant', 'ADV')"
565,"('avant', 'NOUN')"
573,"('avoir', 'AUX')"
584,"('bain', 'NOUN')"
605,"('beaucoup', 'PRON')"
607,"('besoin', 'NOUN')"
622,"('bonheur', 'NOUN')"
633,"('bref', 'INTJ')"
