0
"('$', 'NOUN')"
"('%', 'NOUN')"
"('&', 'CCONJ')"
"('/', 'ADP')"
"('/', 'CCONJ')"
"('0', 'NUM')"
"('1', 'NUM')"
"('10', 'NUM')"
"('11', 'NUM')"
"('12', 'NUM')"
"('13', 'NUM')"
"('14', 'NUM')"
"('15', 'NUM')"
"('150', 'NUM')"
"('16', 'NUM')"
"('17', 'NUM')"
"('18', 'NUM')"
"('1868', 'NUM')"
"('19', 'NUM')"
"('1905', 'NUM')"
"('1934', 'NUM')"
"('1935', 'NUM')"
"('1966', 'NUM')"
"('1974', 'NUM')"
"('1992', 'NUM')"
"('1er', 'ADJ')"
"('1er', 'NUM')"
"('2', 'NUM')"
"('20', 'NUM')"
"('21', 'NUM')"
"('22', 'NUM')"
"('23', 'NUM')"
"('24', 'NUM')"
"('25', 'NUM')"
"('26', 'NUM')"
"('27', 'NUM')"
"('28', 'NUM')"
"('29', 'NUM')"
"('3', 'NUM')"
"('30', 'NUM')"
"('31', 'NUM')"
"('32', 'NUM')"
"('35', 'NUM')"
"('4', 'NUM')"
"('45', 'NUM')"
"('5', 'NUM')"
"('500', 'NUM')"
"('6', 'NUM')"
"('7', 'NUM')"
"('70', 'NUM')"
"('8', 'NUM')"
"('80', 'NUM')"
"('9', 'NUM')"
"('90', 'NUM')"
"('=', 'VERB')"
"('A', 'PROPN')"
"('Afrique', 'PROPN')"
"('Alex', 'PROPN')"
"('Alger', 'PROPN')"
"('Algérie', 'PROPN')"
"('Allemagne', 'PROPN')"
"('Amérique', 'PROPN')"
"('Argentine', 'PROPN')"
"('Auckland', 'PROPN')"
"('B', 'PROPN')"
"('Barcelone', 'PROPN')"
"('Belgique', 'PROPN')"
"('Berlin', 'PROPN')"
"('Bordeaux', 'PROPN')"
"('Bourgogne', 'PROPN')"
"('Bruxelles', 'PROPN')"
"('Brésil', 'PROPN')"
"('Bulgarie', 'PROPN')"
"('C', 'NOUN')"
"('Californie', 'PROPN')"
"('Canada', 'PROPN')"
"('Chicago', 'PROPN')"
"('Chine', 'PROPN')"
"('Côte', 'PROPN')"
"('Danemark', 'PROPN')"
"('Dieu', 'PROPN')"
"('Disney', 'PROPN')"
"('Espagne', 'PROPN')"
"('Etats-Unis', 'PROPN')"
"('Florence', 'PROPN')"
"('Grand', 'PROPN')"
"('Grande-Bretagne', 'PROPN')"
"('Grèce', 'PROPN')"
"('Hongrie', 'PROPN')"
"('I', 'NUM')"
"('II', 'NUM')"
"('III', 'NUM')"
"('IV', 'NUM')"
"('Inde', 'PROPN')"
"('Internet', 'PROPN')"
"('Irak', 'PROPN')"
"('Iran', 'PROPN')"
"('Israël', 'PROPN')"
"('Ivoire', 'PROPN')"
"('J.-C.', 'PROPN')"
"('Japon', 'PROPN')"
"('Jeanne', 'PROPN')"
"('Libye', 'PROPN')"
"('Liège', 'PROPN')"
"('Loire', 'PROPN')"
"('Londres', 'PROPN')"
"('Lord', 'PROPN')"
"('Los', 'PROPN')"
"('Madrid', 'PROPN')"
"('Mali', 'PROPN')"
"('Mans', 'PROPN')"
"('Maroc', 'PROPN')"
"('Mauritanie', 'PROPN')"
"('Mexique', 'PROPN')"
"('Milan', 'PROPN')"
"('Montréal', 'PROPN')"
"('Moscou', 'PROPN')"
"('Méditerranée', 'PROPN')"
