pattern,n_pattern_occurence,n_pattern_positive_occurence,decision,alpha,value,coverage,precision,delta,g-statistic,p-value,cramers_phi
node:X:child:upos=NOUN,1009,84,yes,0.0050000000000000044,0.24451914796792806,43.523316062176164,8.325074331020813,68.76355527736484,154.14195991490897,0.0,0.3908542649213947
node:X:own:Polarity=Neg,3180,0,no,0.0030000000000000027,-0.04741778474248837,25.26215443279314,100.0,-48.019716767076126,96.77194070557131,0.0,0.17444606012986863
node:X:own:rel_shallow=advmod,12112,128,no,0.0030000000000000027,-0.3358875124612417,95.20177947251351,98.94319682959049,-54.89773883107739,18.68211673975015,1.544240370965344e-05,0.039273997640503745
node:X:own:ExtPos=PRON,397,56,yes,0.0020000000000000018,0.26193683959468184,29.015544041450774,14.105793450881613,50.005085674047415,156.93372463760915,0.0,0.6287281244725687
node:X:parent:upos=VERB,7652,82,no,0.0020000000000000018,-0.22007458531478516,60.13663806800127,98.92838473601672,-33.54933103825992,10.999348244819007,0.0009114393238244256,0.0379136848210409
node:X:prev:Number=Sing,5806,49,no,0.0020000000000000018,-0.06512047650343877,45.73403241182078,99.15604547020324,-38.67373444957359,20.591834202812677,5.6838034316886166e-06,0.05955373452929073
node:X:child:Gender=Masc,699,66,yes,0.0020000000000000018,0.26237640504886495,34.196891191709845,9.44206008583691,55.44472263516157,135.66060798251965,0.0,0.4405429865607856
node:X:prev:upos=ADV,1042,34,yes,0.001,0.11999062439027997,17.616580310880828,3.262955854126679,18.265237461857446,16.18974139110188,5.7303600693892065e-05,0.12464822436725552
node:X:parent:Mood=Ind,3789,29,no,0.001,-0.07000115109692479,29.869717190975532,99.23462655054104,-28.21594554416712,17.231561359219736,3.308933111756396e-05,0.06743727496097376
node:X:parent:upos=ADJ,2138,49,yes,0.001,0.11488087601645497,25.38860103626943,2.291861552853134,16.71504577106643,7.590405009290498,0.005867976509058348,0.05958385860619815
node:X:prev:Person=3,4550,31,no,0.001,-0.036058956282321475,35.899269145217666,99.31868131868133,-37.707456380564906,26.387340254577822,2.793655261568162e-07,0.07615389314123444
node:X:child:rel_shallow=ccomp,189,21,yes,0.001,0.8037306992972679,10.880829015544041,11.11111111111111,18.14599796573038,49.36098855319278,2.1294077612310502e-12,0.511047210739081
node:X:child:Number=Plur,502,55,yes,0.001,0.13897104494808493,28.497409326424872,10.95617529880478,47.41952898834207,127.85508821354804,0.0,0.5046696055678014
