pattern,n_pattern_occurence,n_pattern_positive_occurence,decision,alpha,value,coverage,precision,delta,g-statistic,p-value,cramers_phi
node:X:own:Person=3,36664,22100,yes,0.04700000000000001,0.052606062373315554,64.73724295506473,60.27711106262274,18973.302843324855,62141.70879900254,0.0,1.3018821534928167
node:X:parent:upos=VERB,114506,25006,yes,0.034,0.03456925448011794,73.24975101060402,21.838156952474105,15240.955688897993,18878.584142709544,0.0,0.40604165385052937
node:X:parent:position=before,180742,2516,no,0.031,-0.009834229206183598,48.67328657883812,98.60796051830786,-12897.634559561935,17655.339588291998,0.0,0.31254207837268255
node:X:next:Person=3,33665,13737,yes,0.015,0.06229469602965487,40.23961567754409,40.804990346056734,10866.056846512418,25664.06794457338,0.0,0.8731189995089623
node:X:child:Number=Sing,87632,1108,no,0.01100000000000001,-0.03495616131047963,23.629590788927487,98.7356216907066,-6365.236014448947,8993.212381690715,0.0,0.320350984555634
node:X:next:upos=VERB,31330,14508,yes,0.010000000000000009,0.0008402272524763443,42.4980959634425,46.30705394190871,11836.185088407368,31169.50311672429,0.0,0.9974353182373107
node:X:parent:upos=NOUN,193775,4517,no,0.008000000000000007,-0.04613921774528623,51.68611129317691,97.66894594245905,-12008.085684451395,13094.523374776221,0.0,0.25995368298956373
node:X:next:Number=Sing,156026,21369,yes,0.007000000000000006,0.02594038836459789,62.595934149627986,13.69579429069514,8063.140012890139,4584.6465639533735,0.0,0.17141721825677156
node:X:own:rel_shallow=cop,5552,5552,yes,0.007000000000000006,0.16283068561313296,16.263401488077804,100.0,5078.526767023227,27336.028418942824,0.0,2.218926822273546
node:X:own:PronType=Prs,15702,11064,yes,0.006000000000000005,0.09822997139778589,32.409631495693944,70.46236148261367,9724.937193047319,36242.99459240872,0.0,1.5192685601518237
node:X:own:PronType=Rel,3593,3201,yes,0.006000000000000005,0.12771945362571024,9.376647723943993,89.0898970219872,2894.589818788627,13353.919735633412,0.0,1.9278612414334644
node:X:own:rel_shallow=punct,44005,0,no,0.0040000000000000036,-0.0995758374522242,12.017707718861288,100.0,-3752.735882050232,7844.948264676053,0.0,0.42222508254630764
node:X:own:rel_shallow=det,60634,5,no,0.0040000000000000036,-0.18664732572225406,16.557700290577003,99.99175380149751,-5165.853027434013,10729.162440612847,0.0,0.42065378460381736
node:X:own:VerbForm=Fin,24877,12009,yes,0.0040000000000000036,0.2100859587996154,35.177807721600566,48.27350564778711,9887.495386029688,26964.799979504067,0.0,1.0411171450591254
node:X:next:upos=NOUN,74783,432,no,0.0040000000000000036,-0.019351161287346708,20.305160472788447,99.42232860409452,-5945.476365580331,10067.37578268537,0.0,0.3669075919805761
node:X:own:Tense=Pres,22097,10346,yes,0.0040000000000000036,0.046717643783478646,30.30640342140723,46.820835407521386,8461.573121562005,22491.28689796332,0.0,1.0088822816839667
node:X:own:Mood=Ind,23929,11617,yes,0.0040000000000000036,0.03438314387540409,34.029527213076335,48.547787203811275,9576.340599441428,26240.342798259997,0.0,1.047182744498037
node:X:parent:Tense=Past,46402,12173,yes,0.0040000000000000036,0.03845657176761469,35.65821079149335,26.23378302659368,8215.848530873882,12629.973526968635,0.0,0.5217144555871382
node:X:own:rel_shallow=case,57940,237,no,0.0030000000000000027,-0.36178699192423436,15.758613532586136,99.59095616154643,-4704.10935134622,8374.243459371872,0.0,0.3801749923948911
node:X:prev:upos=DET,61131,11,no,0.0030000000000000027,-0.2298319810224938,16.691791745865288,99.98200585627586,-5202.237068642488,10738.566760397607,0.0,0.41912388456896427
node:X:own:Emph=No,9831,9549,yes,0.0030000000000000027,0.20303371359596367,27.97176167320874,97.13152273420812,8710.61466977762,44507.26001308592,0.0,2.1277303153099156
node:X:own:Polarity=Neg,3226,1876,yes,0.0030000000000000027,0.5234626373447742,5.495342433651649,58.152510849349035,1600.887491069332,5091.3744365374405,0.0,1.2562767933237164
node:X:next:Tense=Past,13406,7082,yes,0.0030000000000000027,0.11144071356737273,20.745210615736127,52.82709234671042,5938.739524263938,17454.816155174205,0.0,1.1410588190982824
node:X:parent:VerbForm=Part,45465,11651,yes,0.0030000000000000027,0.04545810199703282,34.129122971468746,25.626305949631583,7773.755666914811,11644.108498034404,0.0,0.5060745807843486
node:X:child:upos=DET,61100,21,no,0.0030000000000000027,-0.018776730236219175,16.680594699700684,99.96563011456628,-5189.593396052021,10615.22118969695,0.0,0.4168155559565259
node:X:own:rel_shallow=aux:tense,3837,3837,yes,0.0020000000000000018,0.7477900316494364,11.239674263284316,100.0,3509.7815571088117,18891.99226287529,0.0,2.218926822273546
node:X:own:rel_shallow=mark,6721,2039,yes,0.0020000000000000018,0.5643892361145861,5.972816216532896,30.337747359023954,1465.8347264342779,2624.632302472956,0.0,0.6249097304218107
node:X:own:rel_shallow=aux:pass,3408,3387,yes,0.0020000000000000018,1.2439973072394057,9.92149510809069,99.38380281690141,3096.366574570454,16424.47632124019,0.0,2.1953105912178352
