pattern,n_pattern_occurence,n_pattern_positive_occurence,decision,alpha,value,coverage,precision,delta,g-statistic,p-value,cramers_phi
node:X:parent:upos=VERB,7652,385,no,0.07300000000000001,-0.02786097431267598,68.8228051898854,94.96863565081024,-945.3140599327126,1070.6798108495464,0.0,0.37406091002394065
node:X:next:upos=ADJ,1801,1129,yes,0.058,0.02793454167787468,50.8100810081008,62.68739589117157,815.8928878804475,1827.6913328930948,0.0,1.0073828888671852
node:X:own:Polarity=Neg,3180,83,no,0.02700000000000001,-0.023727874426956674,29.330429017899423,97.38993710691824,-469.84875987794385,704.3460025632215,0.0,0.47062984779573125
node:X:parent:Number=Sing,8197,1180,no,0.016,-0.014268722266519512,66.45515673832749,85.60448944735879,-245.06329708160547,53.55364724945776,2.5157653738006047e-13,0.08082897272301298
node:X:parent:position=before,4462,276,no,0.015,-0.034859001661368516,39.64390567288569,93.81443298969072,-499.7267819419451,493.89285434988176,0.0,0.33269907119561426
node:X:prev:Person=3,4550,449,no,0.015,-0.0018408115975442896,38.838905199356,90.13186813186813,-342.0257413347938,205.724708793101,0.0,0.2126363602791617
node:X:parent:upos=ADV,709,358,yes,0.015,0.054316338441894096,16.111611161116112,50.49365303244006,234.73906580079807,403.9343875570843,0.0,0.7548007027863555
node:X:parent:upos=NOUN,1645,154,no,0.013999999999999999,-0.031154994870773667,14.120655365091391,90.63829787234042,-131.98622955950236,85.74567772242901,0.0,0.2283090713268065
node:X:next:upos=ADV,1021,374,yes,0.012999999999999998,0.05043273175186269,16.831683168316832,36.6307541625857,196.49730068069792,214.27967882803694,0.0,0.458118280887253
node:X:prev:upos=DET,431,403,yes,0.012999999999999998,0.1005855059357943,18.136813681368135,93.50348027842227,328.0698693372975,1213.5950039009222,0.0,1.678024335432524
node:X:own:SpaceAfter=No,1894,28,no,0.01200000000000001,-0.020699431790155876,17.67212804242826,98.52164730728616,-301.2753305688131,519.1348932657233,0.0,0.5235403065875808
node:X:own:ExtPos=PRON,397,167,yes,0.009000000000000008,0.10055696872072195,7.515751575157516,42.0654911838791,97.98083092089821,131.88269074116334,0.0,0.5763663882061583
node:X:prev:upos=AUX,2089,313,no,0.006000000000000005,-0.053851753892301346,16.81977459986741,85.01675442795596,-50.176433768875654,8.720590348546946,0.003146361437422196,0.06461059239301424
node:X:prev:upos=ADP,459,168,yes,0.0050000000000000044,0.11833487320501368,7.560756075607561,36.60130718954248,88.20201862139113,96.05842808818828,0.0,0.4574687105225493
node:X:next:Person=3,1633,12,no,0.0040000000000000036,-0.06180298118260641,15.351832559901506,99.2651561543172,-271.9000078241139,519.3200065931044,0.0,0.563929007636666
node:X:next:upos=NUM,220,108,yes,0.0040000000000000036,0.3704689195037796,4.86048604860486,49.09090909090909,69.7526015178781,115.7709743080804,0.0,0.7254182940899446
node:X:next:SpaceAfter=No,1808,564,yes,0.0040000000000000036,0.01875873704541886,25.38253825382538,31.194690265486724,249.67592520147093,204.38683517171066,0.0,0.33622286643468613
