pattern,n_pattern_occurence,n_pattern_positive_occurence,decision,alpha,value,coverage,precision,delta,g-statistic,p-value,cramers_phi
node:X:next:upos=ADP,7439,2198,yes,0.04000000000000001,0.012828366643877875,56.02854957940352,29.546982121252857,929.110178703422,704.4782929816116,0.0,0.3077347416036946
node:X:child:rel_shallow=obj,7498,442,no,0.034,-0.016368795081639687,36.98888655902705,94.10509469191784,-836.9536066785513,842.5665491793415,0.0,0.33521958843406535
node:X:child:Strength=Weak,5923,455,no,0.023000000000000007,-0.0105354789588461,28.664290207590692,92.31808205301367,-555.3017087699466,445.2183736853931,0.0,0.2741673113602403
node:X:child:rel_shallow=obl,8953,2227,yes,0.023000000000000007,0.00039457325100450413,56.76777976038746,24.874343795375854,699.8632114439758,348.72863319927313,0.0,0.1973601704534404
node:X:child:Tense=Pres,5554,558,no,0.017,-0.01056297792248817,26.18997693436779,89.95318689232985,-389.3604069742163,220.0184553762691,0.0,0.19903370067315096
node:X:child:rel_shallow=ccomp,2266,57,no,0.01200000000000001,-0.06265473726828996,11.57999580624869,97.48455428067079,-329.51758772120525,495.4887988055113,0.0,0.4676134214473547
node:X:next:xpos=Spsa,7132,2113,yes,0.009000000000000008,0.011309881688719992,53.86184042824369,29.62703309029725,896.4759772164007,683.5640449262362,0.0,0.3095878714644892
node:X:child:Person=3,12511,1678,no,0.009000000000000008,-0.008864178161083286,56.788634933948416,86.58780273359443,-456.0342188790819,125.0011140334321,0.0,0.09995647443516023
node:X:child:rel_shallow=nsubj,8662,1573,yes,0.009000000000000008,0.020337657259233477,40.096864644404796,18.159778342184254,95.49984781947046,7.318974602871258,0.006823033067683837,0.029068058823035748
node:X:child:rel_shallow=aux:pass,1727,188,no,0.009000000000000008,-0.0084247457429929,8.067729083665338,89.11407064273307,-106.57893821470498,52.03468848354979,5.453415496958769e-13,0.17358025045753248
node:X:child:rel_shallow=expl:pv,2245,144,no,0.007000000000000006,-0.07749589988596017,11.013839379324807,93.58574610244989,-238.9355624157572,225.6181423298708,0.0,0.3170142882336113
node:X:own:Person=3,10779,1763,no,0.006000000000000005,0.009258749481093495,47.263577269867895,83.64412283143149,-75.60241749641295,3.7897619411834036,0.05156698210433064,0.018750667344238473
node:X:own:VerbForm=Part,7634,1549,yes,0.006000000000000005,-0.04667475324846172,39.48508794290084,20.290804296567984,246.84851515283276,53.84098140074958,2.1738166822160565e-13,0.08398087706711388
node:X:prev:Case=Acc,3640,275,no,0.006000000000000005,-0.06415667944125697,17.639966449989515,92.44505494505495,-345.88438627766425,282.05725294976617,0.0,0.27836712504331546
node:X:next:Case=Acc,7631,2194,yes,0.006000000000000005,0.023199245048338313,55.926586795819524,28.751146638710523,892.360233053611,638.4410017679295,0.0,0.2892475295880885
node:X:child:upos=ADV,3789,744,yes,0.006000000000000005,0.006741519161746923,18.965077746622484,19.635787806809184,97.70029131701381,17.14590560757587,3.461547681227195e-05,0.06726945538080689
node:X:child:Reflex=Yes,3881,320,no,0.006000000000000005,-0.04425949089814929,18.6674355210736,91.75470239628962,-341.9923909735206,253.85898624080897,0.0,0.255755186343533
node:X:parent:Definite=Def,2811,783,yes,0.0050000000000000044,0.012003862384758146,19.959214886566404,27.854855923159015,303.52032697073787,202.32302476384854,0.0,0.2682824302574854
node:X:child:upos=NOUN,17499,3243,yes,0.0050000000000000044,0.008476982245461388,82.66632679072139,18.532487570718324,258.1494847602071,26.32821209380254,2.8805010499066697e-07,0.03878859674038208
