w,l,x,p,g,f,type,Definite,Foreign,Tense,Polarity,Poss,Degree,Reflex,Number,Type,Gender,Case,Mood,Person
Lui,lui,DET,Tf-so,2,det,Art,Def,_,_,_,_,_,_,Sing,Art,_,"Dat,Gen",_,_
Winston,Winston,PROPN,Np,4,iobj,_,_,_,_,_,_,_,_,_,_,_,_,_,_
îi,el,PRON,Pp3-sd--------w,4,expl,Prs,_,_,_,_,_,_,_,Sing,Prs,_,Dat,_,3
displăcuse,displăcea,VERB,Vmil3s,0,root,_,_,_,Pqp,_,_,_,_,Sing,_,_,_,Ind,3
fata,fată,NOUN,Ncfsry,4,nsubj,_,Def,_,_,_,_,_,_,Sing,_,Fem,"Acc,Nom",_,_
asta,acesta,DET,Dd3fsr---o,5,det,Dem,_,_,_,_,_,_,_,Sing,Dem,Fem,"Acc,Nom",_,3
din,din,ADP,Spsa,9,case,Prep,_,_,_,_,_,_,_,_,Prep,_,Acc,_,_
primul,prim,NUM,Momsrly,9,nummod,Ord,Def,_,_,_,_,_,_,Sing,Ord,Masc,"Acc,Nom",_,_
moment,moment,NOUN,Ncms-n,4,obl,_,Ind,_,_,_,_,_,_,Sing,_,Masc,_,_,_
când,când,ADV,Rw,12,advmod,"Int,Rel",_,_,_,_,_,_,_,_,"Int,Rel",_,_,_,_
o,el,PRON,Pp3fsa--------w,12,obj,Prs,_,_,_,_,_,_,_,Sing,Prs,Fem,Acc,_,3
văzuse,vedea,VERB,Vmil3s,9,acl,_,_,_,Pqp,_,_,_,_,Sing,_,_,_,Ind,3
.,.,PUNCT,PERIOD,4,punct,_,_,_,_,_,_,_,_,_,_,_,_,_,_
Știa,ști,VERB,Vmii3s,0,root,_,_,_,Imp,_,_,_,_,Sing,_,_,_,Ind,3
și,și,CCONJ,Crssp,4,advmod,_,_,_,_,Pos,_,_,_,_,_,_,_,_,_
de,de,ADP,Spsa,4,case,Prep,_,_,_,_,_,_,_,_,Prep,_,Acc,_,_
ce,ce,PRON,Pw3--r,1,ccomp,"Int,Rel",_,_,_,_,_,_,_,_,"Int,Rel",_,"Acc,Nom",_,3
.,.,PUNCT,PERIOD,1,punct,_,_,_,_,_,_,_,_,_,_,_,_,_,_
Din,din,ADP,Spsa,3,case,Prep,_,_,_,_,_,_,_,_,Prep,_,Acc,_,_
cauza,cauză,NOUN,Ncfsry,1,fixed,_,Def,_,_,_,_,_,_,Sing,_,Fem,"Acc,Nom",_,_
atmosferei,atmosferă,NOUN,Ncfsoy,0,root,_,Def,_,_,_,_,_,_,Sing,_,Fem,"Dat,Gen",_,_
de,de,ADP,Spsa,5,case,Prep,_,_,_,_,_,_,_,_,Prep,_,Acc,_,_
gazon,gazon,NOUN,Ncms-n,3,nmod,_,Ind,_,_,_,_,_,_,Sing,_,Masc,_,_,_
de,de,ADP,Spsa,7,case,Prep,_,_,_,_,_,_,_,_,Prep,_,Acc,_,_
hochei,hochei,NOUN,Ncms-n,5,nmod,_,Ind,_,_,_,_,_,_,Sing,_,Masc,_,_,_
și,și,CCONJ,Crssp,10,cc,_,_,_,_,Pos,_,_,_,_,_,_,_,_,_
de,de,ADP,Spsa,10,case,Prep,_,_,_,_,_,_,_,_,Prep,_,Acc,_,_
băi,baie,NOUN,Ncfp-n,5,conj,_,Ind,_,_,_,_,_,_,Plur,_,Fem,_,_,_
reci,rece,ADJ,Afp-p-n,10,amod,_,Ind,_,_,_,_,Pos,_,Plur,_,_,_,_,_
și,și,CCONJ,Crssp,14,cc,_,_,_,_,Pos,_,_,_,_,_,_,_,_,_
de,de,ADP,Spsa,14,case,Prep,_,_,_,_,_,_,_,_,Prep,_,Acc,_,_
excursii,excursie,NOUN,Ncfp-n,5,conj,_,Ind,_,_,_,_,_,_,Plur,_,Fem,_,_,_
în,în,ADP,Spsa,16,case,Prep,_,_,_,_,_,_,_,_,Prep,_,Acc,_,_
grup,grup,NOUN,Ncms-n,14,nmod,_,Ind,_,_,_,_,_,_,Sing,_,Masc,_,_,_
și,și,CCONJ,Crssp,21,cc,_,_,_,_,Pos,_,_,_,_,_,_,_,_,_
în,în,ADP,Spsa,21,advmod,Prep,_,_,_,_,_,_,_,_,Prep,_,Acc,_,_
general,general,NOUN,Ncms-n,18,fixed,_,Ind,_,_,_,_,_,_,Sing,_,Masc,_,_,_
de,de,ADP,Spsa,21,case,Prep,_,_,_,_,_,_,_,_,Prep,_,Acc,_,_
castitate,castitate,NOUN,Ncfsrn,5,conj,_,Ind,_,_,_,_,_,_,Sing,_,Fem,"Acc,Nom",_,_
pe,pe,ADP,Spsa,23,case,Prep,_,_,_,_,_,_,_,_,Prep,_,Acc,_,_
