lemma,form,gold_upos,pred_upos,purity,entropy,rival,distribution,in_train,train_freq,pos_err,log_freq
taas,Taas,ADV,ADV,0.6564099742534892,1.0548036911332204,PRON,"ADV: 0.66, PRON: 0.32",True,74,0,4.31748811353631
teatteri,teatteriin,NOUN,NOUN,,,,,True,4,0,1.6094379124341003
tänään,Tänäänkin,ADV,ADV,0.9473088840978392,0.2977204622933132,NOUN,"ADV: 0.95, NOUN: 0.05",True,73,0,4.30406509320417
pitää,pitäisi,AUX,AUX,0.952005592357278,0.30860046203971936,ADV,AUX: 0.95,True,173,0,5.159055299214529
mennä,mennä,VERB,VERB,1.0,0.0,,VERB: 1.00,True,151,0,5.0238805208462765
teatteri,teatteriin,NOUN,NOUN,,,,,True,4,0,1.6094379124341003
.,.,PUNCT,PUNCT,,,,,True,10340,0,9.243871855184976
varata,Varasin,VERB,VERB,1.0,0.0,,VERB: 1.00,True,11,0,2.4849066497880004
pupu,pupulle,NOUN,NOUN,,,,,True,10,0,2.3978952727983707
ja,ja,CCONJ,CCONJ,0.6915585843696935,1.4699791094392378,SCONJ,"CCONJ: 0.69, SCONJ: 0.12, PRON: 0.09, PROPN: 0.09",True,4710,0,8.45765547870004
minä,minulle,PRON,PRON,0.617914425240303,1.5040621801581067,ADV,"PRON: 0.62, ADV: 0.19, PROPN: 0.13, NOUN: 0.05",True,885,0,6.786716950605081
sekä,sekä,CCONJ,CCONJ,0.7592181641557838,1.212213724792085,SCONJ,"CCONJ: 0.76, SCONJ: 0.10, PRON: 0.08",True,351,0,5.863631175598097
se,sille,PRON,PRON,0.7651175648529579,1.1544352977758683,ADV,"PRON: 0.77, ADV: 0.09, NOUN: 0.08, PROPN: 0.06",True,2716,0,7.907283609426348
sisaren#tytär,sisarentyttärelleni,NOUN,NOUN,,,,,False,0,0,0.0
",",",",PUNCT,PUNCT,,,,,True,8704,0,9.07165285220229
joka,joka,PRON,PRON,0.11269135846514312,1.5132013823739865,SCONJ,"SCONJ: 0.64, CCONJ: 0.19, PRON: 0.11",True,1506,0,7.317876198626496
päästä,pääsi,VERB,VERB,1.0,0.0,,VERB: 1.00,True,142,0,4.962844630259907
Turku,Turkuun,PROPN,PROPN,0.12180605583165842,1.852723961533102,PRON,"PRON: 0.37, ADJ: 0.35, NUM: 0.16, PROPN: 0.12",True,182,0,5.209486152841421
laki,lakia,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,28,0,3.367295829986474
lukea,lukemaan,VERB,VERB,1.0,0.0,,VERB: 1.00,True,82,0,4.418840607796598
",",",",PUNCT,PUNCT,,,,,True,8704,0,9.07165285220229
lippu,liput,NOUN,NOUN,,,,,True,8,0,2.1972245773362196
kaupungin#teatteri,kaupunginteatterin,NOUN,NOUN,,,,,True,6,0,1.9459101490553132
laulaa,Laulavat,VERB,ADJ,1.0,0.0,,VERB: 1.00,True,16,1,2.833213344056216
sade#pisara,sadepisarat,NOUN,NOUN,,,,,False,0,0,0.0
musikaali,-musikaaliin,NOUN,NOUN,,,,,False,0,0,0.0
.,.,PUNCT,PUNCT,,,,,True,10340,0,9.243871855184976
se,Sen,PRON,PRON,0.7651175648529579,1.1544352977758683,ADV,"PRON: 0.77, ADV: 0.09, NOUN: 0.08, PROPN: 0.06",True,2716,0,7.907283609426348
jälkeen,jälkeen,ADP,ADP,1.0,0.0,,ADP: 1.00,True,209,0,5.3471075307174685
voida,voisi,AUX,AUX,0.9488659363651245,0.3186097658233126,ADV,AUX: 0.95,True,751,0,6.62273632394984
mennä,mennä,VERB,VERB,1.0,0.0,,VERB: 1.00,True,151,0,5.0238805208462765
vaikka,vaikkapa,ADV,ADV,0.2949297774059788,1.1455552842153622,PRON,"PRON: 0.65, ADV: 0.29, PROPN: 0.05",True,22,0,3.1354942159291497
Suxess,Suxessiin,PROPN,PROPN,,,,,True,1,0,0.6931471805599453
olut,oluelle,NOUN,NOUN,0.32088695462039807,0.9053433813040411,ADV,"ADV: 0.68, NOUN: 0.32",True,12,0,2.5649493574615367
.,.,PUNCT,PUNCT,,,,,True,10340,0,9.243871855184976
muu,Muita,PRON,PRON,0.45117483354725035,0.9931105539659513,ADJ,"ADJ: 0.55, PRON: 0.45",True,341,0,5.834810737062605
matka,matkalla,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,85,0,4.454347296253507
sinne,sinne,ADV,ADV,0.4155709958405006,1.2270319929814215,PRON,"PRON: 0.53, ADV: 0.42, NOUN: 0.05",True,36,0,3.6109179126442243
?,?,PUNCT,PUNCT,,,,,True,356,0,5.877735781779639
pään#särky,Päänsärkyä,NOUN,NOUN,,,,,True,2,0,1.0986122886681098
tänään,Tänään,ADV,ADV,0.9473088840978392,0.2977204622933132,NOUN,"ADV: 0.95, NOUN: 0.05",True,73,0,4.30406509320417
