lemma,form,gold_upos,pred_upos,purity,entropy,rival,distribution,in_train,train_freq,pos_err,log_freq
此れ,これ,PRON,PRON,0.944658323623343,0.36247025135542804,ADV,PRON: 0.94,True,222,0,5.407171771460119
に,に,ADP,ADP,1.0,0.0,,ADP: 1.00,True,5614,0,8.633196867172543
不快,不快,NOUN,NOUN,,,,,True,1,0,0.6931471805599453
感,感,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,26,0,3.295836866004329
を,を,ADP,ADP,1.0,0.0,,ADP: 1.00,True,4658,0,8.446556111816797
示す,示す,VERB,VERB,1.0,0.0,,VERB: 1.00,True,33,0,3.5263605246161616
住民,住民,NOUN,NOUN,0.4085704351715868,0.9757437207023668,PROPN,"PROPN: 0.59, NOUN: 0.41",True,22,0,3.1354942159291497
は,は,ADP,ADP,1.0,0.0,,ADP: 1.00,True,4834,0,8.483636407887394
居る,い,VERB,VERB,0.04122878863232381,1.049933790210585,SCONJ,"SCONJ: 0.70, AUX: 0.26",True,2059,0,7.630461261783627
ます,まし,AUX,AUX,0.5195157631386277,1.3954929655783166,PART,"AUX: 0.52, PART: 0.36, SCONJ: 0.12",True,1063,0,6.96979066990159
た,た,AUX,AUX,0.2916937633559493,1.5744111408725157,PART,"PART: 0.39, SCONJ: 0.32, AUX: 0.29",True,4624,0,8.439231649946526
が,が,SCONJ,SCONJ,0.30985097947927953,1.5342249506134624,PART,"PART: 0.45, SCONJ: 0.31, AUX: 0.24",True,657,0,6.489204931325317
",",",",PUNCT,PUNCT,,,,,True,1110,0,7.01301578963963
現在,現在,ADV,ADV,0.1968081394366786,0.7380335225801589,CCONJ,"CCONJ: 0.80, ADV: 0.20",True,27,0,3.332204510175204
",",",",PUNCT,PUNCT,,,,,True,1110,0,7.01301578963963
表立つ,表立っ,VERB,VERB,,,,,False,0,0,0.0
て,て,SCONJ,SCONJ,0.27906208378015457,1.569972645797504,PART,"PART: 0.40, AUX: 0.32, SCONJ: 0.28",True,4514,0,8.415160465851086
