treebank,n_test_tokens,n,n_errors,coef,se,ci_low,ci_high,p,log_freq_coef,overall_hit_rate,hit_low_pur × low_ent,n_low_pur × low_ent,hit_low_pur × high_ent,n_low_pur × high_ent,hit_high_pur × low_ent,n_high_pur × low_ent,hit_high_pur × high_ent,n_high_pur × high_ent,error
fr_gsd,9956.0,7305.0,49.0,-1.2272833525546674,0.4470622748313364,-2.1035093100706344,-0.3510573950387005,0.006047073457123245,-0.3624965183636324,0.22448979591836735,0.75,4.0,0.47058823529411764,17.0,0.0,28.0,,0.0,
en_ewt,25094.0,17286.0,217.0,-0.9509060647968521,0.2029202972925383,-1.3486225392223878,-0.5531895903713164,2.784518050081715e-06,-0.4183290367187324,0.20276497695852536,,0.0,0.3963963963963964,111.0,0.0,103.0,0.0,3.0,
ru_syntagrus,157605.0,111425.0,4054.0,-2.953628028769037,0.04636498407878051,-3.0445017277072197,-2.8627543298308544,0.0,-0.09835590505968313,0.46965959546127284,0.9561128526645768,319.0,0.5172189733593242,3078.0,0.0,643.0,0.5,14.0,
cs_pdt,,,,,,,,,,,,,,,,,,,[Errno 2] No such file or directory: '/Users/madalina/Documents/PHD/code/data/ud-treebanks-v2.17/UD_Czech-PDT/cs_pdt-ud-train.conllu'
fi_tdt,20880.0,12323.0,160.0,-0.29946194136016663,0.23545235435531423,-0.7609400759717451,0.1620161932514118,0.20342360579760332,-0.1876360897179615,0.16875,0.0,2.0,0.3333333333333333,72.0,0.011904761904761904,84.0,1.0,2.0,
ko_kaist,28366.0,10488.0,157.0,-1.1575738122363641,0.2451732963631228,-1.6381046430790498,-0.6770429813936785,2.341675470280592e-06,-0.14152976229044578,0.46496815286624205,0.6428571428571429,14.0,0.6904761904761905,84.0,0.09090909090909091,44.0,0.13333333333333333,15.0,
ar_padt,28264.0,22361.0,241.0,-2.053596662127958,0.15992880524437858,-2.3670513604974603,-1.7401419637584554,9.700245849413572e-38,-0.6212003670546432,0.3651452282157676,,0.0,0.6153846153846154,143.0,,0.0,0.0,98.0,
zh_gsd,,,,,,,,,,,,,,,,,,,No processors to load for language zh-hans.  Please check if your language or package is correctly set.
ja_gsd,13034.0,8959.0,54.0,-0.1574315223254557,0.37670710230303484,-0.8957638755598496,0.5809008309089383,0.6760093161525645,-0.20585680322583363,0.16666666666666666,0.0,1.0,0.28125,32.0,0.0,19.0,0.0,2.0,
tr_imst,10032.0,5142.0,55.0,-1.567753719476999,0.4844474664905388,-2.51725330620013,-0.6182541327538682,0.0012114577110713984,-0.06428142239052914,0.43636363636363634,0.5,10.0,0.5333333333333333,30.0,0.0,10.0,0.6,5.0,
hi_hdtb,35430.0,28055.0,314.0,0.2279413942390923,0.19164591255469654,-0.14767769215242552,0.6035604806306101,0.23428692715104982,-0.44758986419575675,0.2229299363057325,0.6666666666666666,3.0,0.3877551020408163,98.0,0.1380952380952381,210.0,0.3333333333333333,3.0,
