sent_idx,id,form,lemma,gold_upos,gold_head,gold_deprel,pred_upos,pred_head,pred_deprel,purity,entropy,rival,in_train,has_score,train_freq,pos_err,uas_err,las_err,log_freq
0,1,Je,moi,PRON,2,nsubj,PRON,2,nsubj,0.7120466284894749,1.0523675190710984,CCONJ,True,True,621,0,0,0,6.432940092739179
0,2,sens,sentir,VERB,0,root,VERB,0,root,1.0,0.0,,True,True,27,0,0,0,3.332204510175204
0,3,qu',que,SCONJ,21,mark,SCONJ,21,mark,0.6915510664276248,1.397369454710615,CCONJ,True,True,1979,0,0,0,7.590852123688581
0,4,entre,entre,ADP,5,case,ADP,5,case,0.9951404265427191,0.0443394212917744,ADJ,True,True,403,0,0,0,6.0014148779611505
0,5,ça,ça,PRON,21,obl,PRON,21,obl,0.7398737785831464,1.0820830987796926,CCONJ,True,True,36,0,0,0,3.6109179126442243
0,6,et,et,CCONJ,8,cc,CCONJ,8,cc,0.25644065667983523,1.7170903132548632,SCONJ,True,True,7215,0,0,0,8.88405606174246
0,7,les,le,DET,8,det,DET,8,det,0.8207496286735718,0.8327615029897053,ADP,True,True,38293,0,0,0,10.55304850493315
0,8,films,film,NOUN,5,conj,NOUN,5,conj,1.0,0.0,,True,True,178,0,0,0,5.187385805840755
0,9,de,de,ADP,10,case,ADP,10,case,0.7886818615006483,0.7439947701431047,CCONJ,True,True,27784,0,0,0,10.232251585714021
0,10,médecins,médecin,NOUN,8,nmod,NOUN,8,nmod,1.0,0.0,,True,True,27,0,0,0,3.332204510175204
0,11,et,et,CCONJ,12,cc,CCONJ,12,cc,0.25644065667983523,1.7170903132548632,SCONJ,True,True,7215,0,0,0,8.88405606174246
0,12,scientifiques,scientifique,NOUN,10,conj,NOUN,10,conj,,,,True,False,9,0,0,0,2.302585092994046
0,13,fous,fou,ADJ,12,amod,ADJ,12,amod,,,,True,False,8,0,0,0,2.1972245773362196
0,14,que,que,PRON,18,obj,PRON,18,obj,0.11611059889321292,1.238361633076011,SCONJ,True,True,430,0,0,0,6.066108090103747
0,15,nous,nous,PRON,18,nsubj,PRON,18,nsubj,0.8226072026071004,0.8287662668321807,CCONJ,True,True,328,0,0,0,5.796057750765372
0,16,avons,avoir,AUX,18,aux,AUX,18,aux,0.7537049139623345,0.8053529913575782,ADV,True,True,2935,0,0,0,7.984803389734406
0,17,déjà,déjà,ADV,18,advmod,ADV,18,advmod,1.0,0.0,,True,True,86,0,0,0,4.465908118654584
0,18,vus,voir,VERB,8,acl,VERB,8,acl,1.0,0.0,,True,True,197,0,0,0,5.288267030694535
0,19,",",",",PUNCT,5,punct,PUNCT,5,punct,,,,True,False,16599,0,0,0,9.717157974344635
0,20,nous,nous,PRON,21,nsubj,PRON,21,nsubj,0.8226072026071004,0.8287662668321807,CCONJ,True,True,328,0,0,0,5.796057750765372
0,21,pourrions,pouvoir,VERB,2,ccomp,VERB,2,ccomp,0.9326172400615902,0.3560798311098319,ADJ,True,True,599,0,0,0,6.396929655216146
0,22,emprunter,emprunter,VERB,21,xcomp,VERB,21,xcomp,1.0,0.0,,True,True,12,0,0,0,2.5649493574615367
0,23,un,un,DET,25,det,DET,25,det,0.7741737557418163,1.1225809040946326,ADP,True,True,8933,0,0,0,9.097619501912064
0,24,autre,autre,ADJ,25,amod,ADJ,25,amod,0.5773464864136372,0.982668701467866,NUM,True,True,341,0,0,0,5.834810737062605
0,25,chemin,chemin,NOUN,22,obj,NOUN,22,obj,1.0,0.0,,True,True,44,0,0,0,3.8066624897703196
0,26,pour,pour,ADP,28,case,ADP,28,case,0.7890790430468303,0.7432394314397186,CCONJ,True,True,2242,0,0,0,7.715569534520208
0,27,l',le,DET,28,det,DET,28,det,0.8207496286735718,0.8327615029897053,ADP,True,True,38293,0,0,0,10.55304850493315
0,28,origine,origine,NOUN,22,obl,NOUN,22,obl,1.0,0.0,,True,True,124,0,0,0,4.8283137373023015
0,29,.,.,PUNCT,2,punct,PUNCT,2,punct,,,,True,False,13366,0,0,0,9.500544261971474
1,1,On,on,PRON,2,nsubj,PRON,2,nsubj,0.5432191123278096,1.5995967780630704,SCONJ,True,True,554,0,0,0,6.318968113746434
1,2,pourra,pouvoir,VERB,0,root,VERB,0,root,0.9326172400615902,0.3560798311098319,ADJ,True,True,599,0,0,0,6.396929655216146
1,3,toujours,toujours,ADV,2,advmod,ADV,2,advmod,1.0,0.0,,True,True,120,0,0,0,4.795790545596741
1,4,parler,parler,VERB,2,xcomp,VERB,2,xcomp,1.0,0.0,,True,True,78,0,0,0,4.3694478524670215
1,5,à,à,ADP,4,advmod,ADP,6,case,1.0,0.0,,True,True,9366,0,1,1,9.14494815320913
1,6,propos,propos,NOUN,5,fixed,NOUN,4,obl,1.0,0.0,,True,True,20,0,1,1,3.044522437723423
1,7,d',de,ADP,8,case,ADP,8,case,0.7886818615006483,0.7439947701431047,CCONJ,True,True,27784,0,0,0,10.232251585714021
1,8,Averroès,Averroès,PROPN,5,obl,PROPN,6,nmod,,,,False,False,0,0,1,1,0.0
1,9,de,de,ADP,11,case,ADP,11,case,0.7886818615006483,0.7439947701431047,CCONJ,True,True,27784,0,0,0,10.232251585714021
1,10,"""","""",PUNCT,11,punct,PUNCT,11,punct,,,,True,False,819,0,0,0,6.709304340258298
1,11,décentrement,décentrement,NOUN,4,obl,NOUN,6,nmod,,,,False,False,0,0,1,1,0.0
1,12,de,de,ADP,14,case,ADP,14,case,0.7886818615006483,0.7439947701431047,CCONJ,True,True,27784,0,0,0,10.232251585714021
1,13,le,le,DET,14,det,DET,14,det,0.8207496286735718,0.8327615029897053,ADP,True,True,38293,0,0,0,10.55304850493315
1,14,Sujet,sujet,NOUN,11,nmod,NOUN,11,nmod,1.0,0.0,,True,True,36,0,0,0,3.6109179126442243
1,15,"""","""",PUNCT,11,punct,PUNCT,11,punct,,,,True,False,819,0,0,0,6.709304340258298
1,16,.,.,PUNCT,2,punct,PUNCT,2,punct,,,,True,False,13366,0,0,0,9.500544261971474
2,1,«,«,PUNCT,6,punct,PUNCT,6,punct,,,,True,False,866,0,0,0,6.7650389767805414
2,2,Il,lui,PRON,6,expl,PRON,6,expl,0.7173975220804439,1.0427392110337699,CCONJ,True,True,5436,0,0,0,8.600982717145921
2,3,a,avoir,AUX,6,aux,AUX,6,aux,0.7537049139623345,0.8053529913575782,ADV,True,True,2935,0,0,0,7.984803389734406
2,4,été,être,AUX,6,aux,AUX,6,aux,0.4687470215317024,1.7986756264740116,SCONJ,True,True,8404,0,0,0,9.036582045842716
