Outlier Index: 0, LAD Score: (0.8380253651964436-0j)
Outlier Index: 1, LAD Score: (5.176101185255125+0j)
Outlier Index: 2, LAD Score: (0.9999999980744009+0j)
Outlier Index: 3, LAD Score: (0.999999996339862+0j)
Outlier Index: 4, LAD Score: (0.9999999980496388+0j)
Outlier Index: 5, LAD Score: (1.70553976148914+0j)
Outlier Index: 6, LAD Score: (0.34598321643616936+0j)
Outlier Index: 7, LAD Score: (1.5032491814011524-0j)
Outlier Index: 8, LAD Score: (1.7395347549308544-0j)
Outlier Index: 9, LAD Score: (1.58751961058764-0j)
Outlier Index: 10, LAD Score: (1.2317490302014242+0j)
Outlier Index: 11, LAD Score: (2.2021576461715555-0j)
Outlier Index: 12, LAD Score: (1.9737332425863579+0j)
Outlier Index: 13, LAD Score: (0.970658516031993-0j)
Outlier Index: 14, LAD Score: (1.0675194400651586-0j)
Outlier Index: 15, LAD Score: (1.2864635623083418-0j)
Outlier Index: 16, LAD Score: (0.5666709491563191-0j)
Outlier Index: 17, LAD Score: (3.552686636702182+0j)
Outlier Index: 18, LAD Score: (1.1070535899405776+0j)
Outlier Index: 19, LAD Score: (1.1139350508869432+0j)
Outlier Index: 20, LAD Score: (2.463417115687446+0j)
Outlier Index: 21, LAD Score: (3.3237030924792133+0j)
Outlier Index: 22, LAD Score: (3.6758185147960973-0j)
Outlier Index: 23, LAD Score: (2.1181207289728254-0j)
Outlier Index: 24, LAD Score: (1.077688598040551-0j)
Outlier Index: 25, LAD Score: (1.711992653612371+0j)
Outlier Index: 26, LAD Score: (1.3249570617222546-0j)
Outlier Index: 27, LAD Score: (1.1095436245319223-0j)
Outlier Index: 28, LAD Score: (1.6461659740455576+0j)
Outlier Index: 29, LAD Score: (1.6678101907567997+0j)
Outlier Index: 30, LAD Score: (1.5254088442525586+0j)
Outlier Index: 31, LAD Score: (1.3625067265766315-0j)
Outlier Index: 32, LAD Score: (1.1405146571007374+0j)
Outlier Index: 33, LAD Score: (2.21480581919808-0j)
Outlier Index: 34, LAD Score: (2.4109933575710554-0j)
Outlier Index: 35, LAD Score: (3.4356551516834206-0j)
Outlier Index: 36, LAD Score: (1.8973849454723846-0j)
Outlier Index: 37, LAD Score: (1.4143195666885164+0j)
Outlier Index: 38, LAD Score: (1.2512077117723817+0j)
Outlier Index: 39, LAD Score: (1.3337988564268053-0j)
Outlier Index: 40, LAD Score: (0.6915771616768027+0j)
Outlier Index: 41, LAD Score: (1.982124398232568-0j)
Outlier Index: 42, LAD Score: (0.6433486147544403+0j)
Outlier Index: 43, LAD Score: (1.2560438608174234-0j)
Outlier Index: 44, LAD Score: (0.8139883982902071+0j)
Outlier Index: 45, LAD Score: (0.8432312569666098-0j)
Outlier Index: 46, LAD Score: (1.2380569086754019+0j)
Outlier Index: 47, LAD Score: (0.8644061687366704-0j)
Outlier Index: 48, LAD Score: (1.3460411502095166-0j)
Outlier Index: 49, LAD Score: (1.0106259006506768-0j)
Outlier Index: 50, LAD Score: (0.901649193613081-0j)
Outlier Index: 51, LAD Score: (0.6919964833411305-0j)
Outlier Index: 52, LAD Score: (1.1568254833536498-0j)
Outlier Index: 53, LAD Score: (1.4272650161637308-0j)
Outlier Index: 54, LAD Score: (2.046027565536661+0j)
Outlier Index: 55, LAD Score: (1.1364996363123183+0j)
Outlier Index: 56, LAD Score: (0.5077301149408333-0j)
Outlier Index: 57, LAD Score: (0.7190474401763302-0j)
Outlier Index: 58, LAD Score: (1.2681540704754062-0j)
Outlier Index: 59, LAD Score: (0.42440412064315763-0j)
Outlier Index: 60, LAD Score: (0.7414029117490776+0j)
Outlier Index: 61, LAD Score: (1.6138817564635586+0j)
Outlier Index: 62, LAD Score: (0.3798675208029685-0j)
Outlier Index: 63, LAD Score: (0.7199788413688697-0j)
Outlier Index: 64, LAD Score: (0.860086730323531-0j)
Outlier Index: 65, LAD Score: (0.6863813304784183-0j)
Outlier Index: 66, LAD Score: (0.1452816515983182+0j)
Outlier Index: 67, LAD Score: (1.7508468497512215+0j)
Outlier Index: 68, LAD Score: (1.069971462368558-0j)
Outlier Index: 69, LAD Score: (1.9102353967921855-0j)
