pattern,n_pattern_occurence,n_pattern_positive_occurence,decision,alpha,value,coverage,precision
node:X:next:ExtPos=DET,11,11,yes,0.001,0.08141474412853222,0.4340962904498816,100.0
node:X:next:VerbForm=Inf,355,355,yes,0.0040000000000000036,0.16337123821627753,14.009471191791633,100.0
node:X:child:rel_shallow=expl:comp,38,38,yes,0.0020000000000000018,0.09774283503656056,1.499605367008682,100.0
node:X:own:rel_shallow=parataxis:insert,56,54,yes,0.001,0.10718830770211307,2.131018153117601,96.42857142857143
node:X:child:rel_shallow=xcomp,699,663,yes,0.02600000000000001,0.005569058847195385,26.16416732438832,94.84978540772532
node:X:child:Person=1,322,304,yes,0.0020000000000000018,0.07642154510812826,11.996842936069456,94.40993788819875
node:X:parent:Mood=Cnd,49,46,yes,0.001,0.01568707787504864,1.8153117600631412,93.87755102040816
node:X:own:Tense=Imp,144,135,yes,0.001,0.11093935484906614,5.327545382794002,93.75
node:X:parent:Person=2,60,55,yes,0.001,0.12418984288748025,2.1704814522494082,91.66666666666666
node:X:own:VerbForm=Fin,1451,1328,yes,0.046000000000000006,0.0067289888969870315,52.407261247040246,91.52308752584425
node:X:prev:PronType=Prs,658,600,yes,0.0050000000000000044,0.006593761806814757,23.677979479084453,91.1854103343465
node:X:own:Person=3,1125,1021,yes,0.001,0.05679901978076992,40.29202841357537,90.75555555555556
node:X:child:rel_shallow=nsubj,1537,1391,yes,0.049,0.011587118635547844,54.89344909234411,90.50097592713078
node:X:child:Person=2,126,113,yes,0.001,0.0768477860100591,4.459352801894238,89.68253968253968
node:X:child:Voice=Pass,234,209,yes,0.0020000000000000018,0.10316636290337511,8.24782951854775,89.31623931623932
node:X:own:Tense=Pres,1390,1210,yes,0.0020000000000000018,-0.09405188736791878,47.750591949486974,87.05035971223022
node:X:own:Subject=Instantiated,84,72,yes,0.001,0.27060863023182374,2.841357537490134,85.71428571428571
node:X:child:Subject=SubjRaising,498,424,yes,0.0030000000000000027,0.002659560217620094,16.732438831886345,85.14056224899599
node:X:own:rel_shallow=acl:relcl,241,200,yes,0.0020000000000000018,0.058159749576776554,7.892659826361484,82.98755186721992
node:X:parent:position=after,109,90,yes,0.001,0.0862689308365544,3.5516969218626673,82.56880733944955
node:X:next:Definite=Ind,372,304,yes,0.0020000000000000018,0.02436934202372809,11.996842936069456,81.72043010752688
node:X:next:Gender=Fem,343,279,yes,0.006000000000000005,0.018569130056337813,11.010260457774269,81.34110787172013
node:X:prev:SpaceAfter=No,222,180,yes,0.001,0.0685520605402562,7.1033938437253346,81.08108108108108
node:X:next:Gender=Masc,347,280,yes,0.0020000000000000018,0.06338315737645775,11.049723756906078,80.69164265129683
node:X:child:Mood=Sub,43,34,yes,0.001,0.5004570269213107,1.3417521704814523,79.06976744186046
node:X:parent:VerbForm=Fin,706,552,yes,0.007000000000000006,0.02646063937806692,21.783741120757696,78.18696883852692
node:X:prev:Person=3,902,701,yes,0.007000000000000006,0.018169809564367978,27.663772691397,77.71618625277162
