,pattern,n_pattern_occurence,n_pattern_positive_occurence,decision,alpha,value,coverage,precision
0,node:X:parent:position=after,194571,607,no,0.01200000000000001,-0.025682374656057605,64.88283798023048,99.68803161827816
1,node:X:child:rel_shallow=case,41656,4340,yes,0.010000000000000009,0.19025896101364825,64.26773285946986,10.418667178797772
2,node:X:own:rel_shallow=nmod,25103,3727,yes,0.009000000000000008,0.1218301446593153,55.19028579890419,14.846831056049078
3,node:X:own:Number=Sing,145989,821,no,0.008000000000000007,-0.179364289352552,48.56010302898526,99.43762886244855
4,node:X:own:Number=Plur,50043,3797,yes,0.007000000000000006,0.030461466081205923,56.226862135347254,7.587474771696341
5,node:X:own:SpaceAfter=No,37836,3451,yes,0.007000000000000006,0.27224634141834114,51.10321338664298,9.120943017232266
6,node:X:own:Gender=Fem,57595,229,no,0.0040000000000000036,-0.051576456337524834,19.189483015270365,99.60239604132303
7,node:X:own:Gender=Masc,80596,671,no,0.0040000000000000036,-0.08414937665239408,26.735687166535648,99.16745247903121
8,node:X:prev:Number=Plur,42499,266,no,0.0040000000000000036,-0.13666448604900283,14.127347839903662,99.37410292006871
9,node:X:child:rel_shallow=det,47610,401,no,0.0040000000000000036,-0.26097230161318363,15.79186806937731,99.15773997059442
10,node:X:own:rel_shallow=obl:mod,13112,1679,yes,0.0030000000000000027,0.41120051648435574,24.86302384125574,12.805064063453326
11,node:X:child:Gender=Masc,51511,214,no,0.0030000000000000027,-0.1759751831182499,17.159343691983477,99.58455475529499
12,node:X:child:Number=Plur,33915,489,no,0.0030000000000000027,-0.03045787850169801,11.181320978775359,98.55816010614772
13,node:X:child:Number=Sing,71959,611,no,0.0030000000000000027,-0.10594918027262423,23.866597534663565,99.15090537667282
14,node:X:next:Number=Plur,50718,154,no,0.001,-0.4302831710102646,16.914148087440832,99.69636026657203
15,node:X:next:Number=Sing,138385,595,no,0.001,-0.06807654688859949,46.09209051832277,99.57004010550277
16,node:X:next:Gender=Masc,79467,244,no,0.001,-0.0287519631757458,26.50086136245798,99.69295430807756
17,node:X:parent:Number=Sing,193756,4870,yes,0.001,0.0860426132872648,72.11609654968161,2.513470550589401
18,node:X:own:Person=3,35745,0,no,0.001,-0.33598571016611056,11.957048955493486,100.0
