row_idx,lexunit,primary_cluster,clusters_above_threshold
1,"('/', 'ADP')",12,"[(6, 0.14388477498922445), (7, 0.10157830218975239), (12, 0.28357225893709165)]"
2,"('/', 'SYM')",5,"[(5, 0.13476287970965503), (10, 0.11078022158453195)]"
6,"('11', 'NUM')",7,"[(4, 0.1023512858774098), (7, 0.29771646024284204), (9, 0.1581217941381059)]"
8,"('13', 'NUM')",7,"[(7, 0.32412229269786985), (9, 0.14397331797219282)]"
14,"('1989', 'NUM')",8,"[(3, 0.14304200353083882), (8, 0.25999435890907907)]"
15,"('1991', 'NUM')",3,"[(3, 0.2198478428956348), (8, 0.15719593493383635)]"
16,"('1994', 'NUM')",3,"[(3, 0.2601617258231793), (8, 0.11858005981811855)]"
17,"('1995', 'NUM')",3,"[(3, 0.18933369303988928), (8, 0.13399665752711282)]"
18,"('1998', 'NUM')",8,"[(3, 0.10811344649056884), (8, 0.2813729486050071)]"
19,"('1999', 'NUM')",3,"[(3, 0.2406832308435867), (8, 0.12096134907079596)]"
22,"('2000', 'NUM')",3,"[(3, 0.27925507783679065), (8, 0.12322632638427418)]"
23,"('2001', 'NUM')",3,"[(3, 0.21451067058142717), (8, 0.15894004698528297)]"
24,"('2002', 'NUM')",3,"[(3, 0.2602015695764274), (8, 0.14661731107565898)]"
25,"('2004', 'NUM')",3,"[(3, 0.2480134637978016), (8, 0.11329355593154218)]"
26,"('2005', 'NUM')",3,"[(3, 0.24673680344426518), (8, 0.1210906822364437)]"
27,"('2006', 'NUM')",3,"[(3, 0.26780573059404567), (8, 0.10181624143480768)]"
29,"('22', 'NUM')",7,"[(4, 0.10438208712538868), (7, 0.35348715888736), (9, 0.16235267261072214)]"
34,"('3e', 'ADJ')",6,"[(6, 0.288630556170054), (7, 0.10375471690912814)]"
37,"('500', 'NUM')",7,"[(6, 0.10212271486840324), (7, 0.45463217973692155)]"
42,"('ACT', 'NOUN')",4,"[(4, 0.2699539966546535), (9, 0.24310882437946812)]"
43,"('ACUITY', 'PROPN')",3,"[(3, 0.25038822000113864), (8, 0.2077750884811774)]"
44,"('Aclasta', 'PROPN')",8,"[(2, 0.10601191345419735), (8, 0.29408057941108007)]"
53,"('Elf', 'PROPN')",8,"[(3, 0.20541570390400274), (8, 0.2905253207311258)]"
54,"('Europe', 'PROPN')",4,"[(4, 0.6083049037895074), (9, 0.14987773570389484)]"
58,"('GP', 'NOUN')",4,"[(4, 0.36848111200102485), (8, 0.11019534564246729), (9, 0.17415855545446507)]"
60,"('HLM', 'NOUN')",9,"[(4, 0.16599591338575626), (5, 0.10317876092584258), (9, 0.278186130151695)]"
61,"('Hauts-de-Seine', 'PROPN')",9,"[(4, 0.1537162758123973), (8, 0.10839980448355858), (9, 0.2998801292880583)]"
62,"('ICP', 'NOUN')",4,"[(4, 0.5043788216831859), (9, 0.20777156409653896)]"
65,"('Irak', 'PROPN')",9,"[(4, 0.20443343560382143), (9, 0.5246962045574871)]"
69,"('Monde', 'PROPN')",9,"[(4, 0.12127912222227048), (9, 0.6898163718416137)]"
72,"('RPR', 'PROPN')",9,"[(4, 0.18337132388251912), (9, 0.3640397387687768)]"
74,"('SCA', 'NOUN')",9,"[(4, 0.15257853661033272), (9, 0.5094160413976894)]"
76,"('Thomson', 'PROPN')",8,"[(8, 0.34292773047902575), (11, 0.18948981103865986)]"
78,"('acide', 'NOUN')",9,"[(4, 0.1699134799650432), (9, 0.3824686382900876)]"
79,"('acte', 'NOUN')",9,"[(4, 0.1102402584192782), (9, 0.7377260567798428)]"
83,"('administration', 'NOUN')",4,"[(4, 0.8180448574758651), (9, 0.1004975451905138)]"
84,"('administrer', 'VERB')",1,"[(1, 0.5539251180717207), (5, 0.2738411672093445)]"
86,"('affecter', 'VERB')",1,"[(1, 0.4059039861552089), (5, 0.29087680991119674)]"
87,"('afin', 'ADV')",0,"[(0, 0.17306442834644664), (1, 0.13922635086293506), (5, 0.12240174524959298)]"
88,"('agir', 'VERB')",1,"[(1, 0.5319315516625465), (5, 0.1586203304904556)]"
90,"('ailleurs', 'ADV')",0,"[(0, 0.2115177083542064), (2, 0.10713681877330089), (8, 0.13148073915664846)]"
92,"('aller', 'VERB')",1,"[(1, 0.5816609795087965), (5, 0.17618024834468923)]"
94,"('amende', 'NOUN')",8,"[(4, 0.2636174507995478), (8, 0.2896269428093587), (9, 0.1026430455221802)]"
98,"('année', 'NOUN')",4,"[(4, 0.7731065732973436), (9, 0.11792255688696827)]"
100,"('apparaître', 'VERB')",1,"[(1, 0.6814647618414974), (5, 0.13597477034388802)]"
101,"('appartenir', 'VERB')",1,"[(1, 0.5204738889688236), (5, 0.2899446040445798)]"
102,"('appel', 'NOUN')",9,"[(4, 0.1447002651718322), (9, 0.5624822812349262)]"
103,"('appeler', 'VERB')",1,"[(1, 0.6308381597760281), (5, 0.2644656560462898)]"
104,"('approprié', 'ADJ')",3,"[(3, 0.45452131273008367), (5, 0.11409851356922725)]"
106,"('après-midi', 'NOUN')",9,"[(4, 0.21997992608786052), (8, 0.1428691250828815), (9, 0.28567773374956335)]"
107,"('argent', 'NOUN')",9,"[(4, 0.1222090332191256), (9, 0.7022494331319256)]"
108,"('arriver', 'VERB')",1,"[(1, 0.8097965185828069), (5, 0.1028758518795647)]"
109,"('arrondissement', 'NOUN')",9,"[(4, 0.17012284993732157), (9, 0.4069538775027735)]"
110,"('arrêter', 'VERB')",1,"[(1, 0.6963170512050129), (5, 0.17151643384340792)]"
111,"('article', 'NOUN')",9,"[(4, 0.16267416287552386), (9, 0.5887630022333007)]"
113,"('association', 'NOUN')",4,"[(4, 0.816971470311202), (9, 0.12545747636302862)]"
114,"('associer', 'VERB')",5,"[(1, 0.19670905740815595), (5, 0.563515378085703)]"
115,"('assurer', 'VERB')",1,"[(1, 0.7740239454732869), (5, 0.10046664399766905)]"
116,"('atteindre', 'VERB')",5,"[(1, 0.1807008812431345), (5, 0.46079657462554485)]"
119,"('augmentation', 'NOUN')",4,"[(4, 0.6133067555038861), (9, 0.15167859853801333)]"
120,"('augmenter', 'VERB')",1,"[(1, 0.7215187040450741), (5, 0.15108224252275168)]"
123,"('autorisation', 'NOUN')",4,"[(4, 0.7848319515393555), (9, 0.10508172642195675)]"
127,"('avion', 'NOUN')",9,"[(4, 0.15139292487743003), (9, 0.5444277646954813)]"
128,"('avoir', 'AUX')",2,"[(0, 0.1263567039470809), (1, 0.10140987512969434), (2, 0.19975275909943654)]"
133,"('baser', 'VERB')",5,"[(1, 0.22685606363297875), (5, 0.5450774765383227)]"
134,"('besoin', 'NOUN')",9,"[(1, 0.1116859324649165), (4, 0.12020683861530529), (5, 0.13255270015160764), (9, 0.23914787343865593)]"
136,"('bien', 'NOUN')",8,"[(8, 0.2269319695017854), (9, 0.11352777709442857)]"
137,"('bisphosphonate', 'NOUN')",9,"[(4, 0.13466008762553752), (9, 0.46171131907335694)]"
139,"('bolus', 'NOUN')",9,"[(4, 0.14423936674841184), (9, 0.6021853625055759)]"
141,"('bras', 'NOUN')",9,"[(4, 0.12730579188155955), (9, 0.5952455977333259)]"
143,"('bénéficier', 'VERB')",1,"[(1, 0.4223682340822669), (5, 0.3773657644855886)]"
144,"('cabinet', 'NOUN')",9,"[(4, 0.12463809806040223), (9, 0.5812786210984944)]"
145,"('cadre', 'NOUN')",9,"[(4, 0.14541970516141103), (9, 0.6921742899466259)]"
147,"('caporal', 'NOUN')",9,"[(4, 0.12647238848183942), (9, 0.5659457769180185)]"
148,"('car', 'CCONJ')",2,"[(0, 0.12273896649405572), (2, 0.40509342697869494)]"
151,"('catégorie', 'NOUN')",5,"[(1, 0.13142105634085935), (4, 0.12972562791347692), (5, 0.1730058794479863)]"
154,"('ce', 'PRON')",2,"[(1, 0.13364782232738687), (2, 0.2026300491043176), (5, 0.1116656952738)]"
157,"('celui', 'PRON')",1,"[(1, 0.2020329935830139), (5, 0.1939464182352904), (9, 0.12846029796698993)]"
161,"('certain', 'DET')",6,"[(6, 0.31026853412109046), (7, 0.12313474407956285)]"
163,"('charge', 'NOUN')",8,"[(4, 0.12486412843601466), (8, 0.5178627870660985)]"
164,"('charger', 'VERB')",5,"[(1, 0.1874274300650821), (5, 0.5075165520972239)]"
165,"('chef', 'NOUN')",9,"[(4, 0.14983429024494596), (9, 0.7152325803919592)]"
168,"('cinq', 'NUM')",7,"[(6, 0.10061033622787457), (7, 0.49342290451878335)]"
169,"('classe', 'NOUN')",4,"[(4, 0.6910547971810208), (9, 0.12344615338643479)]"
171,"('club', 'NOUN')",9,"[(4, 0.10022817045627246), (9, 0.7299323700156427)]"
173,"('collègue', 'NOUN')",9,"[(4, 0.19254932449843126), (5, 0.13113485634942884), (9, 0.29708001101885495)]"
176,"('comme', 'SCONJ')",2,"[(0, 0.10658603319689597), (2, 0.4676748389648603)]"
177,"('comment', 'ADV')",0,"[(0, 0.3250805688282918), (2, 0.16651407180473093)]"
178,"('commissaire', 'NOUN')",9,"[(4, 0.1657163537721764), (9, 0.6148705987851034)]"
180,"('commune', 'NOUN')",4,"[(4, 0.6451134145948983), (9, 0.1406491838818246)]"
181,"('comparer', 'VERB')",5,"[(1, 0.3515690077655188), (5, 0.41041977705514887)]"
182,"('comprendre', 'VERB')",1,"[(1, 0.7470840676983602), (5, 0.15977028353662526)]"
185,"('concerner', 'VERB')",5,"[(1, 0.2618783814093353), (5, 0.3504171088257887)]"
186,"('condamner', 'VERB')",1,"[(1, 0.601954368542675), (5, 0.23036097771609756)]"
187,"('condition', 'NOUN')",4,"[(4, 0.589294257892846), (9, 0.13609915013400894)]"
188,"('conduire', 'VERB')",1,"[(1, 0.6540190582080588), (5, 0.19929229083508784)]"
189,"('confier', 'VERB')",1,"[(1, 0.4912924000910044), (5, 0.36641452588616463)]"
191,"('connaître', 'VERB')",1,"[(1, 0.6939204370981814), (5, 0.24138539198905978)]"
193,"('conserver', 'VERB')",1,"[(1, 0.3697389311745292), (5, 0.27972173165416064)]"
194,"('considérer', 'VERB')",1,"[(1, 0.7678519210911401), (5, 0.16273851863919106)]"
195,"('constituer', 'VERB')",1,"[(1, 0.6228260597316562), (5, 0.2062615637151952)]"
196,"('contenir', 'VERB')",1,"[(1, 0.4640472906341362), (5, 0.22006651471521266)]"
197,"('continuer', 'VERB')",1,"[(1, 0.5590889693076649), (5, 0.14173761191621884)]"
201,"('convenir', 'VERB')",1,"[(1, 0.7025355605563817), (5, 0.11784317853798766)]"
203,"('correspondre', 'VERB')",5,"[(1, 0.347067791993248), (5, 0.37431498931960977)]"
204,"('cour', 'NOUN')",4,"[(4, 0.761119613360342), (9, 0.12712236574947866)]"
205,"('cours', 'NOUN')",9,"[(4, 0.15314624443882885), (9, 0.6211770955795406)]"
206,"('critère', 'NOUN')",9,"[(4, 0.11807496742440077), (9, 0.730533724392146)]"
207,"('croire', 'VERB')",1,"[(1, 0.4590638822415621), (5, 0.14284859003778821)]"
208,"('créer', 'VERB')",1,"[(1, 0.8397309202392349), (5, 0.10618405641684668)]"
210,"('date', 'NOUN')",4,"[(4, 0.6323116829962947), (9, 0.11884496498651381)]"
212,"('demande', 'NOUN')",4,"[(4, 0.7089254684723261), (9, 0.11711468788285011)]"
217,"('destiner', 'VERB')",5,"[(1, 0.2475512103480142), (5, 0.49282404519324896)]"
221,"('devenir', 'VERB')",1,"[(1, 0.6294010371191244), (5, 0.1610452643528315)]"
222,"('devoir', 'VERB')",1,"[(1, 0.5087576418239078), (5, 0.15967042921847407)]"
223,"('diamant', 'NOUN')",9,"[(4, 0.14603200866930285), (9, 0.41194616865791983)]"
224,"('diluer', 'VERB')",5,"[(1, 0.12635830625488215), (5, 0.19323991090939358), (8, 0.10747921560929215)]"
225,"('diminuer', 'VERB')",1,"[(1, 0.7155642391742721), (5, 0.15015969411244226)]"
226,"('dire', 'VERB')",1,"[(1, 0.7435763994669843), (5, 0.11450699359955553)]"
227,"('directeur', 'NOUN')",9,"[(4, 0.1365121947256165), (9, 0.4649320460989176)]"
229,"('diriger', 'VERB')",5,"[(1, 0.18990151513631168), (5, 0.40027155330167785)]"
233,"('donnée', 'NOUN')",4,"[(4, 0.415963515718055), (9, 0.18359646808770996)]"
234,"('dont', 'PRON')",12,"[(2, 0.15804453460962958), (12, 0.23785622503554285)]"
237,"('douleur', 'NOUN')",4,"[(4, 0.3189575395014023), (5, 0.2257523247374216), (9, 0.11100586291753994)]"
241,"('durée', 'NOUN')",4,"[(4, 0.7802049392592981), (9, 0.10751680165764457)]"
243,"('débat', 'NOUN')",9,"[(4, 0.10540938524924133), (9, 0.7329580810457079)]"
244,"('début', 'NOUN')",9,"[(4, 0.13884786127211027), (9, 0.656597490032077)]"
246,"('décider', 'VERB')",1,"[(1, 0.6971567460286088), (5, 0.1501109781144674)]"
248,"('découvrir', 'VERB')",1,"[(1, 0.7367303475276687), (5, 0.10343855325370772)]"
249,"('défense', 'NOUN')",4,"[(4, 0.4539921386580251), (9, 0.12759639462521316)]"
252,"('dérouler', 'VERB')",1,"[(1, 0.6069777936824687), (5, 0.1344497942916477)]"
253,"('effectuer', 'VERB')",1,"[(1, 0.7137661727834447), (5, 0.21320696764717384)]"
254,"('effet', 'NOUN')",9,"[(4, 0.13545713524900896), (9, 0.5995418127889905)]"
255,"('efficace', 'ADJ')",5,"[(1, 0.19915166978915666), (5, 0.319918523461636)]"
256,"('efficacité', 'NOUN')",4,"[(4, 0.6461290650876131), (9, 0.16781172312758386)]"
257,"('emploi', 'NOUN')",9,"[(4, 0.121697478756133), (9, 0.7445283634121026)]"
261,"('enfant', 'NOUN')",9,"[(4, 0.23837707671540426), (9, 0.38546655307187183)]"
264,"('entraîner', 'VERB')",1,"[(1, 0.49111784667813924), (5, 0.16066141223308744)]"
266,"('entreprise', 'NOUN')",4,"[(4, 0.6984837709366969), (9, 0.1446684955954208)]"
267,"('entrer', 'VERB')",1,"[(1, 0.6268909322026713), (5, 0.22832461221523567)]"
268,"('environ', 'ADV')",0,"[(0, 0.11961215262315668), (12, 0.11781438820170193)]"
269,"('environnement', 'NOUN')",9,"[(4, 0.19646915240595275), (8, 0.14098982749350222), (9, 0.39353363839699584)]"
270,"('envisager', 'VERB')",1,"[(1, 0.7165202832395291), (5, 0.1428605033924339)]"
271,"('estimer', 'VERB')",1,"[(1, 0.754590259680834), (5, 0.11659460328727994)]"
272,"('et', 'CCONJ')",12,"[(2, 0.14918467400873747), (12, 0.2890759957148545)]"
273,"('euro', 'NOUN')",10,"[(5, 0.12566220838783052), (8, 0.14664769123731472), (9, 0.10748031770251805), (10, 0.23010457327057465)]"
276,"('examen', 'NOUN')",8,"[(8, 0.3007108580874046), (9, 0.11033762888668668), (11, 0.1000841590989714)]"
277,"('exemple', 'NOUN')",8,"[(8, 0.45583324558773963), (9, 0.12139601275853927)]"
278,"('exiger', 'VERB')",1,"[(1, 0.5978258270605574), (5, 0.1961925883664416)]"
279,"('exister', 'VERB')",1,"[(1, 0.5132841310376665), (5, 0.16155177798613327)]"
282,"('facture', 'NOUN')",4,"[(4, 0.30663743360884), (5, 0.12839881959555813), (9, 0.1469401937409654)]"
284,"('faire', 'AUX')",2,"[(0, 0.11750822327293055), (1, 0.116216810162744), (2, 0.16390986892592715)]"
287,"('falloir', 'VERB')",1,"[(1, 0.43175385584823606), (5, 0.1426455528183321)]"
