row_idx,lexunit,primary_cluster,clusters_above_threshold
0,"('$', 'NOUN')",6,"[(2, 0.128206817996798), (4, 0.10031839479628517), (5, 0.1459770486041032), (6, 0.16058179516475574), (7, 0.13425617271726506), (8, 0.11890324043113745)]"
1,"('%', 'NOUN')",5,"[(5, 0.15485693440929038), (6, 0.12962667559768176), (7, 0.14714014656720215), (8, 0.13307938836536654)]"
2,"('&', 'CCONJ')",1,"[(0, 0.11427567214695541), (1, 0.19492186520842017), (3, 0.11920833642674886), (4, 0.10873204093335137)]"
3,"('/', 'ADP')",1,"[(0, 0.14366121927568976), (1, 0.4049688184573576)]"
4,"('/', 'CCONJ')",1,"[(0, 0.11638331436529192), (1, 0.311771655803515), (3, 0.1302951436553369)]"
5,"('0', 'NUM')",6,"[(1, 0.1443836021365956), (2, 0.12566892170388752), (6, 0.25439340972825064)]"
6,"('1', 'NUM')",0,"[(0, 0.18160111007859342), (7, 0.15763667559464684), (8, 0.1289717190308394)]"
7,"('10', 'NUM')",7,"[(0, 0.1076125930542183), (1, 0.1795173761827946), (7, 0.22391201500208913), (8, 0.1376873098909001)]"
9,"('11', 'NUM')",7,"[(7, 0.42547516829051624), (8, 0.2030365113480191)]"
10,"('12', 'NUM')",7,"[(0, 0.12709695603489096), (1, 0.14088790059654635), (7, 0.25797112971032404), (8, 0.15337550650366488)]"
11,"('13', 'NUM')",7,"[(7, 0.3742529871940466), (8, 0.18327493167679154)]"
12,"('14', 'NUM')",7,"[(0, 0.10107816743270495), (7, 0.32330661179961234), (8, 0.1680867551734479)]"
13,"('15', 'NUM')",7,"[(0, 0.1297340402515728), (1, 0.1603779950414712), (7, 0.24523147154667596), (8, 0.14748540860340595)]"
14,"('150', 'NUM')",1,"[(0, 0.1105248589851515), (1, 0.43651097941870626)]"
15,"('16', 'NUM')",7,"[(0, 0.11320648477475778), (7, 0.3284379749491136), (8, 0.17487882574129684)]"
16,"('17', 'NUM')",7,"[(0, 0.10105732160296141), (7, 0.3754247693872799), (8, 0.18771487345880064)]"
17,"('18', 'NUM')",7,"[(7, 0.3896181555452322), (8, 0.19005458449949714)]"
18,"('1868', 'NUM')",6,"[(2, 0.10012523567926215), (6, 0.6652375237271293)]"
19,"('19', 'NUM')",7,"[(7, 0.3771753849417788), (8, 0.19418241571272554)]"
20,"('1905', 'NUM')",6,"[(2, 0.17278552957963658), (6, 0.5540165316600602)]"
34,"('1934', 'NUM')",6,"[(2, 0.1397578838033519), (6, 0.665679057596538)]"
35,"('1935', 'NUM')",6,"[(2, 0.16039932756992023), (6, 0.6394950844751337)]"
65,"('1966', 'NUM')",6,"[(2, 0.10633911924514201), (6, 0.7648759347812193)]"
73,"('1974', 'NUM')",6,"[(2, 0.15583141832760347), (6, 0.7199599807170936)]"
91,"('1992', 'NUM')",6,"[(2, 0.18639378542885718), (6, 0.6268848013368776)]"
100,"('1er', 'NUM')",7,"[(7, 0.41252365395216556), (8, 0.21613260062302195)]"
101,"('2', 'NUM')",1,"[(0, 0.12445369998625429), (1, 0.303414690046169), (7, 0.13424286707723124)]"
102,"('20', 'NUM')",7,"[(0, 0.12740588312722964), (1, 0.18788873748158103), (7, 0.2240917589109734), (8, 0.13943960106475323)]"
117,"('21', 'NUM')",7,"[(7, 0.43947191661910573), (8, 0.1949505176668608)]"
118,"('22', 'NUM')",7,"[(0, 0.10056046409807391), (7, 0.3562420535184846), (8, 0.18293631302717575)]"
119,"('23', 'NUM')",7,"[(0, 0.10389656605151562), (7, 0.3608590328914073), (8, 0.18785738451364734)]"
120,"('24', 'NUM')",7,"[(0, 0.11297202010473358), (7, 0.3534389275709065), (8, 0.18268517984676608)]"
121,"('25', 'NUM')",7,"[(7, 0.4341721901977027), (8, 0.19732609311643579)]"
122,"('26', 'NUM')",7,"[(7, 0.4295049070277399), (8, 0.20541793657408827)]"
123,"('27', 'NUM')",7,"[(7, 0.4510832342831149), (8, 0.2046971914268111)]"
124,"('28', 'NUM')",7,"[(7, 0.43883967537025387), (8, 0.20441898327945993)]"
125,"('29', 'NUM')",7,"[(7, 0.4138815845878244), (8, 0.20871689008608627)]"
127,"('3', 'NUM')",1,"[(0, 0.12436623275024807), (1, 0.2364119007524893), (7, 0.17873678325154546), (8, 0.11796291802208858)]"
128,"('30', 'NUM')",7,"[(0, 0.11273842362085168), (1, 0.11565655132538882), (7, 0.28137930934021055), (8, 0.16775511756295886)]"
129,"('31', 'NUM')",7,"[(7, 0.4565112492722796), (8, 0.20042211205738064)]"
135,"('4', 'NUM')",1,"[(0, 0.14015651700397105), (1, 0.30540266182027365), (7, 0.14666157674006217), (8, 0.10363486091414893)]"
137,"('400', 'NUM')",1,"[(0, 0.11282821495222323), (1, 0.45106311469706806)]"
139,"('45', 'NUM')",1,"[(1, 0.36162919761966555), (6, 0.1156749066687734)]"
140,"('5', 'NUM')",1,"[(0, 0.13076095621094203), (1, 0.2062956179442842), (7, 0.205913638343498), (8, 0.1301422288847414)]"
142,"('500', 'NUM')",1,"[(0, 0.10058478242318569), (1, 0.46383103387867736)]"
143,"('6', 'NUM')",7,"[(7, 0.36137530134020646), (8, 0.1880071072732883)]"
145,"('7', 'NUM')",7,"[(0, 0.1092054902948621), (7, 0.34558800414914154), (8, 0.1778192541113745)]"
146,"('70', 'NUM')",1,"[(1, 0.35515663086222293), (6, 0.1145855616296427)]"
148,"('8', 'NUM')",7,"[(0, 0.11980297595121105), (1, 0.10549778911825315), (7, 0.30500227564377375), (8, 0.16481704331419714)]"
150,"('9', 'NUM')",7,"[(7, 0.3913349944001146), (8, 0.1954510013770737)]"
152,"('=', 'VERB')",5,"[(5, 0.3052227459239121), (7, 0.1128635287845064), (8, 0.10917645430112376)]"
