row_idx,lexunit,primary_cluster,clusters_above_threshold
0,"('$', 'NOUN')",3,"[(0, 0.11128177021329737), (1, 0.10742843899273408), (3, 0.23812701831364858), (7, 0.14772497693834138), (8, 0.13099655797479)]"
1,"('%', 'NOUN')",3,"[(0, 0.12349713672603001), (1, 0.12023650574155888), (3, 0.2166499691661869), (7, 0.11538294049567868), (8, 0.14061755602812714)]"
2,"('&', 'CCONJ')",4,"[(4, 0.16615745423851977), (5, 0.11388126988017569), (9, 0.12466466504623058)]"
3,"('/', 'ADP')",4,"[(4, 0.20808343100090668), (6, 0.11077978616660178), (9, 0.20281358854820555)]"
4,"('/', 'CCONJ')",4,"[(4, 0.23392440283354143), (6, 0.10864853502055441), (9, 0.13959040549883606)]"
5,"('0', 'NUM')",7,"[(3, 0.14520231479619142), (6, 0.11214534965847256), (7, 0.24205062503545247)]"
6,"('1', 'NUM')",9,"[(0, 0.1356463829955046), (1, 0.12382478034186797), (3, 0.16709433020689501), (9, 0.19963848218727587)]"
7,"('10', 'NUM')",0,"[(0, 0.21504347482886593), (1, 0.1346678035018129), (6, 0.138172091543464), (9, 0.10932314048607943)]"
9,"('11', 'NUM')",0,"[(0, 0.4323895709858885), (1, 0.19424467146483593)]"
10,"('12', 'NUM')",0,"[(0, 0.2550511470949147), (1, 0.15184527568030465), (9, 0.13182886400455954)]"
11,"('13', 'NUM')",0,"[(0, 0.3678616026288918), (1, 0.1788142970588653)]"
12,"('14', 'NUM')",0,"[(0, 0.3175350443385936), (1, 0.16442064696151704), (9, 0.10124168167683634)]"
13,"('15', 'NUM')",0,"[(0, 0.24022868273213657), (1, 0.14530756327040006), (6, 0.1139510807301734), (9, 0.13387591741209418)]"
15,"('16', 'NUM')",0,"[(0, 0.3263124534194752), (1, 0.17108509492885698), (9, 0.1139282786130477)]"
16,"('17', 'NUM')",0,"[(0, 0.37821195292852317), (1, 0.18165917855778135)]"
17,"('18', 'NUM')",0,"[(0, 0.38928350309769927), (1, 0.18416238268091956)]"
19,"('19', 'NUM')",0,"[(0, 0.38044753700799167), (1, 0.18785876793436468)]"
100,"('1er', 'NUM')",0,"[(0, 0.42251642165869596), (1, 0.20558577745333856)]"
101,"('2', 'NUM')",6,"[(0, 0.12857382994627697), (6, 0.24918642361712898), (9, 0.1308657625092108)]"
102,"('20', 'NUM')",0,"[(0, 0.21883249519439715), (1, 0.1369390223556065), (6, 0.13860123425776386), (9, 0.130968290756685)]"
117,"('21', 'NUM')",0,"[(0, 0.4360928616009418), (1, 0.1884687050767351)]"
118,"('22', 'NUM')",0,"[(0, 0.3606336420338069), (1, 0.17671282508717487)]"
119,"('23', 'NUM')",0,"[(0, 0.3613435384301239), (1, 0.18215420958183065), (9, 0.10259185133979495)]"
120,"('24', 'NUM')",0,"[(0, 0.3534535758460781), (1, 0.17798466917912423), (9, 0.11099865096219103)]"
121,"('25', 'NUM')",0,"[(0, 0.4372294185512607), (1, 0.18877500197747163)]"
122,"('26', 'NUM')",0,"[(0, 0.4357270611439159), (1, 0.19635315446012033)]"
123,"('27', 'NUM')",0,"[(0, 0.4504812392532772), (1, 0.19644656807742447)]"
124,"('28', 'NUM')",0,"[(0, 0.4449145579685896), (1, 0.19472187998527)]"
125,"('29', 'NUM')",0,"[(0, 0.42456586628527115), (1, 0.19892414253647164)]"
127,"('3', 'NUM')",6,"[(0, 0.17256351890719168), (1, 0.11780913232434861), (6, 0.17541737408503558), (9, 0.13004690647499803)]"
128,"('30', 'NUM')",0,"[(0, 0.2690938060986673), (1, 0.16486221542468818), (9, 0.11199974298537223)]"
129,"('31', 'NUM')",0,"[(0, 0.46214766000315133), (1, 0.19120980457572193)]"
135,"('4', 'NUM')",6,"[(0, 0.13998793080629213), (1, 0.10122841035870005), (6, 0.2629464763894048), (9, 0.14563916121601891)]"
140,"('5', 'NUM')",0,"[(0, 0.20160286626722865), (1, 0.13056211823456154), (6, 0.14114725540522197), (9, 0.1377693786994087)]"
143,"('6', 'NUM')",0,"[(0, 0.36081187564153616), (1, 0.1831974936447415)]"
145,"('7', 'NUM')",0,"[(0, 0.34345023322155294), (1, 0.1742561298320439), (9, 0.1091602799599526)]"
148,"('8', 'NUM')",0,"[(0, 0.3054581869746534), (1, 0.16281912548651578), (9, 0.12305852120483962)]"
150,"('9', 'NUM')",0,"[(0, 0.39321579329306694), (1, 0.18919216288797927)]"
152,"('=', 'VERB')",8,"[(0, 0.10732674839873999), (1, 0.10744909312912879), (3, 0.10014917133584526), (8, 0.2994743308015487)]"
153,"('A', 'PROPN')",7,"[(1, 0.10688005257481617), (3, 0.20039463605732097), (5, 0.13666419570160315), (7, 0.2208774014788552)]"
155,"('Afrique', 'PROPN')",1,"[(0, 0.2768984639263729), (1, 0.2901306114370296), (3, 0.16852964868567236)]"
158,"('Alex', 'PROPN')",5,"[(5, 0.46478243846452716), (7, 0.21661867889719627)]"
160,"('Alger', 'PROPN')",7,"[(3, 0.10772437491758463), (7, 0.5700094528421715)]"
161,"('Algérie', 'PROPN')",1,"[(0, 0.2893351359242165), (1, 0.3375823326077382), (3, 0.12315664027766236)]"
162,"('Allemagne', 'PROPN')",1,"[(0, 0.18150454355082832), (1, 0.2535486943584434), (3, 0.1568270192939453), (7, 0.20769762853925422)]"
163,"('Amérique', 'PROPN')",1,"[(0, 0.20070271109574905), (1, 0.3281047992485591), (3, 0.17287432394828567)]"
165,"('Angleterre', 'PROPN')",7,"[(0, 0.12703209976842592), (1, 0.15383865553390044), (3, 0.18750916916777938), (7, 0.3305531804736745)]"
166,"('Argentine', 'PROPN')",7,"[(0, 0.12921643826468004), (1, 0.13480899277745423), (3, 0.14655438240618862), (5, 0.10559488711302398), (7, 0.31940934634426754)]"
167,"('Asie', 'PROPN')",7,"[(0, 0.12134916102102716), (1, 0.17144281445099588), (3, 0.2083583368526071), (5, 0.11145044132522894), (7, 0.21327183195926747)]"
168,"('Auckland', 'PROPN')",7,"[(3, 0.13067739637828732), (5, 0.13528249154406066), (7, 0.41079719806195075)]"
169,"('Australie', 'PROPN')",7,"[(0, 0.14355376205897824), (1, 0.17013561554781284), (3, 0.18688293236888662), (7, 0.2982250077150562)]"
170,"('Autriche', 'PROPN')",7,"[(0, 0.14989676917523292), (1, 0.1703105542903481), (3, 0.1637495412116826), (5, 0.10508617057043587), (7, 0.27202743781165944)]"
171,"('B', 'PROPN')",2,"[(2, 0.21727461153285887), (4, 0.10084690988638197), (5, 0.11342707785902778), (9, 0.10007678784810317)]"
172,"('Barcelone', 'PROPN')",7,"[(3, 0.1175336995121683), (7, 0.5769759244130636)]"
173,"('Belgique', 'PROPN')",7,"[(0, 0.12180496262701512), (1, 0.23866147709559507), (3, 0.15036589037747358), (7, 0.2788156605277067)]"
175,"('Berlin', 'PROPN')",7,"[(3, 0.10920813897132838), (7, 0.5655495106211971)]"
178,"('Bordeaux', 'PROPN')",7,"[(3, 0.10576903611488123), (7, 0.6128843046807505)]"
179,"('Bourgogne', 'PROPN')",7,"[(3, 0.11283101922530371), (5, 0.10115354835147794), (7, 0.48936361603557554)]"
180,"('Bretagne', 'PROPN')",7,"[(3, 0.13276008173746667), (7, 0.5196304405303418)]"
181,"('Bruxelles', 'PROPN')",7,"[(3, 0.11742065943572742), (5, 0.12011699593896245), (7, 0.4451215378585097)]"
182,"('Brésil', 'PROPN')",0,"[(0, 0.6665795497414867), (1, 0.1244520795640588)]"
183,"('Bulgarie', 'PROPN')",1,"[(0, 0.1408998601935115), (1, 0.31088620711462905), (3, 0.14951125002186072), (7, 0.1655519935699794)]"
184,"('C', 'NOUN')",3,"[(0, 0.11694249863358301), (3, 0.17236835154371372), (8, 0.10665518611960824)]"
185,"('CD', 'NOUN')",0,"[(0, 0.6136630495552602), (3, 0.175447720196735)]"
187,"('Canada', 'PROPN')",0,"[(0, 0.6293889839037454), (1, 0.1349559495131282)]"
189,"('Chicago', 'PROPN')",7,"[(3, 0.1360318777524603), (5, 0.10123393227329783), (7, 0.4849817636185919)]"
192,"('Côte', 'PROPN')",1,"[(0, 0.17590868143676144), (1, 0.3164797610442617), (3, 0.12874939263467985), (5, 0.1258966365471709)]"
194,"('Danemark', 'PROPN')",0,"[(0, 0.6298387161485303), (1, 0.1396248095679163)]"
197,"('Dieu', 'PROPN')",7,"[(3, 0.13075423841677072), (5, 0.1209478160276583), (7, 0.4312822710093775)]"
198,"('Disney', 'PROPN')",5,"[(5, 0.5759716781334803), (7, 0.1230577595127769)]"
201,"('Espagne', 'PROPN')",1,"[(0, 0.18863841086162728), (1, 0.21985473900337887), (3, 0.19026811755655113), (7, 0.1915419549859519)]"
202,"('Etats-Unis', 'PROPN')",0,"[(0, 0.3195767968741031), (1, 0.25525725380358694)]"
203,"('Europe', 'PROPN')",1,"[(0, 0.16814536004339545), (1, 0.22304593786253807), (3, 0.20175874796598214), (7, 0.21682082554172177)]"
204,"('Florence', 'PROPN')",7,"[(3, 0.14166872216193896), (5, 0.11377978714593168), (7, 0.44602214942117185)]"
205,"('Floride', 'PROPN')",7,"[(1, 0.11914783937707764), (3, 0.16928339154715358), (7, 0.3978851888583052)]"
206,"('France', 'PROPN')",7,"[(0, 0.11066823676287399), (1, 0.21722541211858998), (3, 0.16947744801979547), (7, 0.30132003725469775)]"
212,"('Grand', 'PROPN')",0,"[(0, 0.5046385293831246), (1, 0.17890070472660893)]"
213,"('Grande-Bretagne', 'PROPN')",1,"[(0, 0.16821228350476627), (1, 0.3938842069576151), (3, 0.10981500790292481), (7, 0.10677356402424071)]"
214,"('Grèce', 'PROPN')",1,"[(0, 0.11881962898485653), (1, 0.7277025579776004)]"
218,"('Hongrie', 'PROPN')",7,"[(3, 0.10795763474039875), (7, 0.577828351098896)]"
220,"('I', 'NUM')",7,"[(3, 0.12222773019168201), (7, 0.23064150233448774)]"
221,"('II', 'NUM')",7,"[(3, 0.12141115500421996), (7, 0.2012504363520479)]"
222,"('III', 'NUM')",7,"[(3, 0.12115460176441778), (7, 0.2668034144389664)]"
223,"('IV', 'NUM')",7,"[(3, 0.12818889777356793), (7, 0.21438679864675378)]"
224,"('Inde', 'PROPN')",1,"[(0, 0.22663865116328588), (1, 0.30360618569642656), (3, 0.16371036746738257), (7, 0.10983355647673891)]"
225,"('Internet', 'PROPN')",7,"[(3, 0.11161148017371554), (4, 0.1043667631779093), (5, 0.16431151344271933), (7, 0.27817054740731767)]"
226,"('Irak', 'PROPN')",1,"[(0, 0.3321708090906817), (1, 0.35481024469773753)]"
227,"('Iran', 'PROPN')",1,"[(0, 0.28551657046454304), (1, 0.2991272551595672), (3, 0.1301056736307806)]"
228,"('Irlande', 'PROPN')",7,"[(0, 0.1542561686524488), (1, 0.18283129403785617), (3, 0.21137343857517518), (7, 0.24111998082190073)]"
229,"('Israël', 'PROPN')",7,"[(3, 0.1069801318546976), (7, 0.6204646833372258)]"
230,"('Italie', 'PROPN')",7,"[(3, 0.1455032403133764), (7, 0.5318184033622353)]"
231,"('Ivoire', 'PROPN')",7,"[(3, 0.14871147763207984), (5, 0.10726491158029221), (7, 0.3087677112060582)]"
232,"('J.-C.', 'PROPN')",7,"[(3, 0.14935166438049552), (7, 0.36984814794415655)]"
235,"('Japon', 'PROPN')",0,"[(0, 0.6570585383946086), (1, 0.13196337093942714)]"
243,"('Libye', 'PROPN')",1,"[(0, 0.14993051065292484), (1, 0.4177043258231444), (3, 0.13084224450345736), (7, 0.11832778351955682)]"
244,"('Lille', 'PROPN')",7,"[(3, 0.16624645560092316), (5, 0.10134741208867425), (7, 0.4507619049056322)]"
245,"('Liège', 'PROPN')",7,"[(3, 0.13525360454382374), (7, 0.429699971752643)]"
246,"('Loire', 'PROPN')",1,"[(0, 0.16963487257325677), (1, 0.543905373761825)]"
248,"('Lord', 'PROPN')",5,"[(0, 0.16938802621210328), (3, 0.11387616660225527), (5, 0.367802290769157), (8, 0.12091370916837886)]"
249,"('Lorraine', 'PROPN')",7,"[(1, 0.14920944162151673), (3, 0.16448215252924137), (5, 0.1005757501817708), (7, 0.29657998158958376)]"
250,"('Los', 'PROPN')",5,"[(5, 0.6102199500386065), (7, 0.10571413233526493)]"
252,"('Lyon', 'PROPN')",7,"[(3, 0.1270484710561613), (5, 0.10599060028177977), (7, 0.5612699063867813)]"
253,"('M.', 'NOUN')",5,"[(3, 0.13157606130380195), (5, 0.43778902615244575)]"
255,"('Mali', 'PROPN')",0,"[(0, 0.5962350666266537), (1, 0.14351126613050053)]"
256,"('Mans', 'PROPN')",0,"[(0, 0.5293016731853234), (1, 0.1596112002431653), (3, 0.11744818374213849)]"
259,"('Maroc', 'PROPN')",0,"[(0, 0.7426501034819782), (1, 0.10554904199480401)]"
260,"('Marseille', 'PROPN')",7,"[(3, 0.12741461308436378), (7, 0.5589081876121773)]"
263,"('Mauritanie', 'PROPN')",1,"[(0, 0.17613476339085585), (1, 0.5884345009833272)]"
264,"('Mexique', 'PROPN')",0,"[(0, 0.7137464292639667), (1, 0.11212510363080495)]"
267,"('Milan', 'PROPN')",0,"[(0, 0.3130892102293061), (1, 0.15229165605346995), (3, 0.15309798836218505), (5, 0.15211087193706616)]"
268,"('Montréal', 'PROPN')",7,"[(3, 0.11235785157030011), (7, 0.5699354860818862)]"
269,"('Moscou', 'PROPN')",7,"[(3, 0.10061021081619982), (7, 0.5796471494071112)]"
270,"('Méditerranée', 'PROPN')",1,"[(0, 0.12313874481897828), (1, 0.25189019600813295), (3, 0.15304459985556326), (7, 0.19524470011907766)]"
271,"('Nantes', 'PROPN')",7,"[(3, 0.11297859036694721), (7, 0.5672434701571756)]"
272,"('Napoléon', 'PROPN')",5,"[(3, 0.14842407926186152), (4, 0.11801608264597677), (5, 0.21286409963442945), (7, 0.1752421929558271)]"
274,"('Nice', 'PROPN')",7,"[(3, 0.1239619153778968), (7, 0.5080090048777298)]"
276,"('Norvège', 'PROPN')",1,"[(0, 0.12484922547911051), (1, 0.2566677450564068), (3, 0.1655522717962288), (7, 0.2206492864904798)]"
277,"('Notre-Dame', 'PROPN')",5,"[(1, 0.11453612487078356), (3, 0.1256787472952481), (5, 0.20474729873950334), (7, 0.11176833850943664), (8, 0.11003212109303641)]"
278,"('Noël', 'PROPN')",7,"[(3, 0.12264465149725247), (5, 0.2537962353941382), (7, 0.34020630009911984)]"
279,"('ONU', 'PROPN')",0,"[(0, 0.33359385915964956), (1, 0.3323825067882928)]"
280,"('Occident', 'PROPN')",0,"[(0, 0.42984920126284126), (1, 0.30182875597011444), (3, 0.10307010522964631)]"
281,"('Orléans', 'PROPN')",7,"[(3, 0.12865332713202748), (7, 0.5201966570587313)]"
282,"('PS', 'PROPN')",0,"[(0, 0.2523778326629276), (1, 0.15583608238578098), (3, 0.16070446149417786)]"
286,"('Pays-Bas', 'PROPN')",0,"[(0, 0.2650912089307991), (1, 0.2508996535847582), (3, 0.12514972990886583), (7, 0.10110204912904834)]"
289,"('Pokémon', 'PROPN')",0,"[(0, 0.369526131018706), (1, 0.13159394726659676), (3, 0.21956739371525097)]"
290,"('Pologne', 'PROPN')",7,"[(3, 0.14740354807107067), (7, 0.4898881314875997)]"
291,"('Portugal', 'PROPN')",0,"[(0, 0.7030554606197884), (1, 0.11273634360213143)]"
292,"('Québec', 'PROPN')",0,"[(0, 0.5209758564173044), (1, 0.14629910590169842), (3, 0.15552662918026686)]"
293,"('Rabat', 'PROPN')",7,"[(3, 0.14714809176014282), (7, 0.42518362325902676)]"
295,"('Renaissance', 'PROPN')",1,"[(0, 0.161624951317177), (1, 0.6371337805966505)]"
296,"('Rennes', 'PROPN')",7,"[(3, 0.13902909346450273), (5, 0.14468943248762556), (7, 0.41200898287064835)]"
299,"('Rome', 'PROPN')",7,"[(3, 0.12008804352692681), (7, 0.5916014924348763)]"
300,"('Roumanie', 'PROPN')",1,"[(0, 0.1565985217086352), (1, 0.30216459031204), (3, 0.1184876630255601), (7, 0.14987613233073058)]"
301,"('Royal', 'PROPN')",1,"[(0, 0.18623372062113772), (1, 0.4145805834209344), (5, 0.11344232972694564)]"
302,"('Royaume-Uni', 'PROPN')",0,"[(0, 0.6216897566855533), (1, 0.1397407306952586)]"
303,"('Russie', 'PROPN')",1,"[(0, 0.10112186489926908), (1, 0.7856915875370143)]"
