row_idx,lexunit,primary_cluster,clusters_above_threshold,entropy
0,"('$', 'NOUN')",6,"[(2, 0.128206817996798), (4, 0.10031839479628517), (5, 0.1459770486041032), (6, 0.16058179516475574), (7, 0.13425617271726506), (8, 0.11890324043113745)]",0.888182641267946
1,"('%', 'NOUN')",5,"[(5, 0.15485693440929038), (6, 0.12962667559768176), (7, 0.14714014656720215), (8, 0.13307938836536654)]",0.7964094846195534
2,"('&', 'CCONJ')",1,"[(0, 0.11427567214695541), (1, 0.19492186520842017), (3, 0.11920833642674886), (4, 0.10873204093335137)]",0.7656470075218907
3,"('/', 'ADP')",1,"[(0, 0.14366121927568976), (1, 0.4049688184573576)]",0.9302715639253182
4,"('/', 'CCONJ')",1,"[(0, 0.11638331436529192), (1, 0.311771655803515), (3, 0.1302951436553369)]",0.8003053223439593
5,"('0', 'NUM')",6,"[(1, 0.1443836021365956), (2, 0.12566892170388752), (6, 0.25439340972825064)]",0.8085707468960945
6,"('1', 'NUM')",0,"[(0, 0.18160111007859342), (7, 0.15763667559464684), (8, 0.1289717190308394)]",0.7875243353207122
7,"('10', 'NUM')",7,"[(0, 0.1076125930542183), (1, 0.1795173761827946), (7, 0.22391201500208913), (8, 0.1376873098909001)]",0.8340920092485754
9,"('11', 'NUM')",7,"[(7, 0.42547516829051624), (8, 0.2030365113480191)]",0.9915707371156679
10,"('12', 'NUM')",7,"[(0, 0.12709695603489096), (1, 0.14088790059654635), (7, 0.25797112971032404), (8, 0.15337550650366488)]",0.847852127395622
11,"('13', 'NUM')",7,"[(7, 0.3742529871940466), (8, 0.18327493167679154)]",0.9793007677796011
12,"('14', 'NUM')",7,"[(0, 0.10107816743270495), (7, 0.32330661179961234), (8, 0.1680867551734479)]",0.8159976418765854
13,"('15', 'NUM')",7,"[(0, 0.1297340402515728), (1, 0.1603779950414712), (7, 0.24523147154667596), (8, 0.14748540860340595)]",0.8551255693225375
14,"('150', 'NUM')",1,"[(0, 0.1105248589851515), (1, 0.43651097941870626)]",0.8732269737439553
15,"('16', 'NUM')",7,"[(0, 0.11320648477475778), (7, 0.3284379749491136), (8, 0.17487882574129684)]",0.8349076914226305
16,"('17', 'NUM')",7,"[(0, 0.10105732160296141), (7, 0.3754247693872799), (8, 0.18771487345880064)]",0.8314562509002651
17,"('18', 'NUM')",7,"[(7, 0.3896181555452322), (8, 0.19005458449949714)]",0.9851074148438003
18,"('1868', 'NUM')",6,"[(2, 0.10012523567926215), (6, 0.6652375237271293)]",0.7236266547577928
19,"('19', 'NUM')",7,"[(7, 0.3771753849417788), (8, 0.19418241571272554)]",0.9897171489934908
20,"('1905', 'NUM')",6,"[(2, 0.17278552957963658), (6, 0.5540165316600602)]",0.9096779321835584
34,"('1934', 'NUM')",6,"[(2, 0.1397578838033519), (6, 0.665679057596538)]",0.7875934612265537
35,"('1935', 'NUM')",6,"[(2, 0.16039932756992023), (6, 0.6394950844751337)]",0.8359669489737935
65,"('1966', 'NUM')",6,"[(2, 0.10633911924514201), (6, 0.7648759347812193)]",0.6396008725007299
73,"('1974', 'NUM')",6,"[(2, 0.15583141832760347), (6, 0.7199599807170936)]",0.7592000426845953
91,"('1992', 'NUM')",6,"[(2, 0.18639378542885718), (6, 0.6268848013368776)]",0.8740888765802877
100,"('1er', 'NUM')",7,"[(7, 0.41252365395216556), (8, 0.21613260062302195)]",1.0046343675571432
101,"('2', 'NUM')",1,"[(0, 0.12445369998625429), (1, 0.303414690046169), (7, 0.13424286707723124)]",0.8108247303518633
102,"('20', 'NUM')",7,"[(0, 0.12740588312722964), (1, 0.18788873748158103), (7, 0.2240917589109734), (8, 0.13943960106475323)]",0.8558958670095672
117,"('21', 'NUM')",7,"[(7, 0.43947191661910573), (8, 0.1949505176668608)]",0.9811359436513284
118,"('22', 'NUM')",7,"[(0, 0.10056046409807391), (7, 0.3562420535184846), (8, 0.18293631302717575)]",0.8277889968097147
119,"('23', 'NUM')",7,"[(0, 0.10389656605151562), (7, 0.3608590328914073), (8, 0.18785738451364734)]",0.8348553102362081
120,"('24', 'NUM')",7,"[(0, 0.11297202010473358), (7, 0.3534389275709065), (8, 0.18268517984676608)]",0.8415196982345096
121,"('25', 'NUM')",7,"[(7, 0.4341721901977027), (8, 0.19732609311643579)]",0.9846047631645967
122,"('26', 'NUM')",7,"[(7, 0.4295049070277399), (8, 0.20541793657408827)]",0.9927196718031739
123,"('27', 'NUM')",7,"[(7, 0.4510832342831149), (8, 0.2046971914268111)]",0.9865212081965677
124,"('28', 'NUM')",7,"[(7, 0.43883967537025387), (8, 0.20441898327945993)]",0.9896452976456107
125,"('29', 'NUM')",7,"[(7, 0.4138815845878244), (8, 0.20871689008608627)]",0.9985308855734258
127,"('3', 'NUM')",1,"[(0, 0.12436623275024807), (1, 0.2364119007524893), (7, 0.17873678325154546), (8, 0.11796291802208858)]",0.8368218392429234
128,"('30', 'NUM')",7,"[(0, 0.11273842362085168), (1, 0.11565655132538882), (7, 0.28137930934021055), (8, 0.16775511756295886)]",0.8308820013266413
129,"('31', 'NUM')",7,"[(7, 0.4565112492722796), (8, 0.20042211205738064)]",0.9811971002707939
135,"('4', 'NUM')",1,"[(0, 0.14015651700397105), (1, 0.30540266182027365), (7, 0.14666157674006217), (8, 0.10363486091414893)]",0.8325186838965045
137,"('400', 'NUM')",1,"[(0, 0.11282821495222323), (1, 0.45106311469706806)]",0.8732512212821215
139,"('45', 'NUM')",1,"[(1, 0.36162919761966555), (6, 0.1156749066687734)]",0.8906240153326629
140,"('5', 'NUM')",1,"[(0, 0.13076095621094203), (1, 0.2062956179442842), (7, 0.205913638343498), (8, 0.1301422288847414)]",0.8529400151848523
142,"('500', 'NUM')",1,"[(0, 0.10058478242318569), (1, 0.46383103387867736)]",0.8473665572616178
143,"('6', 'NUM')",7,"[(7, 0.36137530134020646), (8, 0.1880071072732883)]",0.9839660263489368
145,"('7', 'NUM')",7,"[(0, 0.1092054902948621), (7, 0.34558800414914154), (8, 0.1778192541113745)]",0.8338882100284429
146,"('70', 'NUM')",1,"[(1, 0.35515663086222293), (6, 0.1145855616296427)]",0.8885542198573707
148,"('8', 'NUM')",7,"[(0, 0.11980297595121105), (1, 0.10549778911825315), (7, 0.30500227564377375), (8, 0.16481704331419714)]",0.8301300975393262
150,"('9', 'NUM')",7,"[(7, 0.3913349944001146), (8, 0.1954510013770737)]",0.9899920756788266
152,"('=', 'VERB')",5,"[(5, 0.3052227459239121), (7, 0.1128635287845064), (8, 0.10917645430112376)]",0.7739174285170697
153,"('A', 'PROPN')",2,"[(2, 0.2467208499728109), (4, 0.1404883840062066), (6, 0.13660923249662008), (7, 0.11073511910066032), (8, 0.10556143514851195)]",0.8537059788776207
