deprel1,deprel2,overlap_count
33,38,14
15,33,13
15,46,12
15,38,11
15,34,10
37,38,9
34,38,8
33,34,8
5,15,8
15,27,8
33,37,8
15,37,7
0,15,7
0,46,7
27,33,7
34,37,7
27,34,6
3,27,6
27,38,6
20,27,6
1,46,5
0,1,5
27,37,5
15,20,5
5,46,5
20,33,5
1,15,5
15,48,4
25,30,4
5,48,4
27,32,4
5,20,4
26,37,4
34,36,4
25,26,4
26,30,4
20,38,4
15,36,4
15,44,4
15,28,4
15,43,3
27,46,3
3,15,3
0,8,3
8,46,3
3,20,3
46,48,3
3,10,3
5,33,3
33,44,3
28,33,3
5,27,3
30,37,3
25,37,3
0,12,3
3,32,3
1,12,3
9,27,3
9,32,3
3,9,3
12,46,2
20,34,2
22,25,2
24,25,2
24,26,2
22,30,2
0,48,2
34,46,2
36,46,2
22,26,2
27,48,2
24,30,2
0,5,2
7,20,2
28,34,2
10,27,2
5,38,2
36,43,2
12,15,2
34,43,2
37,43,2
0,16,2
22,37,2
3,7,2
9,44,2
1,8,2
1,44,2
28,38,2
38,44,2
3,44,2
1,3,2
33,43,2
16,46,2
1,7,2
15,16,2
28,44,2
8,15,2
27,36,1
36,42,1
9,33,1
5,9,1
15,42,1
9,15,1
34,42,1
5,44,1
44,46,1
38,46,1
1,38,1
20,48,1
42,43,1
34,44,1
15,41,1
38,41,1
4,10,1
4,27,1
3,4,1
4,20,1
10,20,1
1,9,1
9,20,1
6,15,1
15,19,1
6,19,1
7,9,1
6,28,1
19,28,1
1,20,1
12,17,1
1,17,1
15,17,1
0,17,1
24,37,1
8,16,1
9,10,1
8,12,1
3,33,1
35,38,1
34,35,1
9,37,1
9,26,1
26,27,1
32,37,1
26,32,1
15,32,1
32,33,1
7,10,1
20,46,1
1,10,1
10,44,1
7,44,1
3,5,1
3,46,1
32,44,1
27,44,1
27,43,1
20,43,1
27,35,1
35,37,1
14,36,1
33,41,1
5,7,1
7,15,1
7,46,1
36,37,1
37,41,1
36,38,1
20,36,1
5,36,1
33,36,1
1,16,1
10,32,1
23,30,1
23,25,1
23,24,1
23,26,1
3,34,1
14,46,1
14,34,1
14,15,1
38,43,1
